split,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,20170703,113200,153100,2017-07-03 11:32:00,2017-07-03 15:31:00,25690.0,25656.0,-1,32.0,1600.0,179,mr_exit,MR,RANGE
train,20170704,112100,115100,2017-07-04 11:21:00,2017-07-04 11:51:00,25633.0,25552.0,1,-83.0,-4150.0,30,stop_loss,MR,RANGE
train,20170704,115200,115600,2017-07-04 11:52:00,2017-07-04 11:56:00,25494.0,25337.0,-1,155.0,7750.0,4,take_profit,ORB,TREND
train,20170704,144600,162900,2017-07-04 14:46:00,2017-07-04 16:29:00,25289.0,25299.0,1,8.0,400.0,103,session_end,MR,RANGE
train,20170705,104600,131300,2017-07-05 10:46:00,2017-07-05 13:13:00,25336.0,25471.0,1,133.0,6650.0,87,take_profit,ORB,TREND
train,20170705,131400,162900,2017-07-05 13:14:00,2017-07-05 16:29:00,25477.0,25461.0,-1,14.0,700.0,195,session_end,MR,RANGE
train,20170706,113500,161300,2017-07-06 11:35:00,2017-07-06 16:13:00,25424.0,25469.0,1,43.0,2150.0,218,mr_exit,MR,RANGE
train,20170707,132000,151900,2017-07-07 13:20:00,2017-07-07 15:19:00,25359.0,25332.0,-1,25.0,1250.0,119,mr_exit,MR,RANGE
train,20170710,103100,162900,2017-07-10 10:31:00,2017-07-10 16:29:00,25571.0,25509.0,1,-64.0,-3200.0,298,session_end,ORB,TREND
train,20170711,101900,131900,2017-07-11 10:19:00,2017-07-11 13:19:00,25722.0,25849.0,1,125.0,6250.0,120,take_profit,ORB,TREND
train,20170711,132000,162900,2017-07-11 13:20:00,2017-07-11 16:29:00,25862.0,25953.0,1,89.0,4450.0,189,session_end,ORB,TREND
train,20170712,140200,143200,2017-07-12 14:02:00,2017-07-12 14:32:00,26025.0,26061.0,1,34.0,1700.0,30,mr_exit,MR,RANGE
train,20170713,144300,150400,2017-07-13 14:43:00,2017-07-13 15:04:00,26309.0,26338.0,1,27.0,1350.0,21,mr_exit,MR,RANGE
train,20170713,154600,162900,2017-07-13 15:46:00,2017-07-13 16:29:00,26378.0,26374.0,-1,2.0,100.0,43,session_end,MR,RANGE
train,20170714,150200,150600,2017-07-14 15:02:00,2017-07-14 15:06:00,26389.0,26366.0,-1,21.0,1050.0,4,mr_exit,MR,RANGE
train,20170714,151500,162900,2017-07-14 15:15:00,2017-07-14 16:29:00,26392.0,26399.0,-1,-9.0,-450.0,74,session_end,MR,RANGE
train,20170718,131700,133100,2017-07-18 13:17:00,2017-07-18 13:31:00,26447.0,26475.0,1,26.0,1300.0,14,mr_exit,MR,RANGE
train,20170718,160300,162900,2017-07-18 16:03:00,2017-07-18 16:29:00,26501.0,26548.0,-1,-49.0,-2450.0,26,session_end,MR,RANGE
train,20170719,115400,162900,2017-07-19 11:54:00,2017-07-19 16:29:00,26657.0,26675.0,-1,-20.0,-1000.0,215,session_end,MR,RANGE
train,20170720,134200,142500,2017-07-20 13:42:00,2017-07-20 14:25:00,26754.0,26730.0,-1,22.0,1100.0,43,mr_exit,MR,RANGE
train,20170720,151500,162900,2017-07-20 15:15:00,2017-07-20 16:29:00,26756.0,26745.0,-1,9.0,450.0,74,session_end,MR,RANGE
train,20170721,162600,162900,2017-07-21 16:26:00,2017-07-21 16:29:00,26767.0,26770.0,-1,-5.0,-250.0,3,session_end,MR,RANGE
train,20170724,101800,162900,2017-07-24 10:18:00,2017-07-24 16:29:00,26894.0,26875.0,1,-21.0,-1050.0,311,session_end,ORB,TREND
train,20170725,142200,150200,2017-07-25 14:22:00,2017-07-25 15:02:00,26839.0,26850.0,1,9.0,450.0,40,mr_exit,MR,RANGE
train,20170725,150500,152300,2017-07-25 15:05:00,2017-07-25 15:23:00,26865.0,26855.0,-1,8.0,400.0,18,mr_exit,MR,RANGE
train,20170725,154400,162900,2017-07-25 15:44:00,2017-07-25 16:29:00,26881.0,26885.0,-1,-6.0,-300.0,45,session_end,MR,RANGE
train,20170726,150700,162900,2017-07-26 15:07:00,2017-07-26 16:29:00,26927.0,26920.0,-1,5.0,250.0,82,session_end,MR,RANGE
train,20170727,115500,143000,2017-07-27 11:55:00,2017-07-27 14:30:00,27041.0,27123.0,-1,-84.0,-4200.0,95,stop_loss,MR,RANGE
train,20170727,143100,162900,2017-07-27 14:31:00,2017-07-27 16:29:00,27127.0,27130.0,-1,-5.0,-250.0,118,session_end,MR,RANGE
train,20170731,114900,144800,2017-07-31 11:49:00,2017-07-31 14:48:00,27104.0,27190.0,-1,-88.0,-4400.0,119,stop_loss,MR,RANGE
train,20170731,144900,162900,2017-07-31 14:49:00,2017-07-31 16:29:00,27191.0,27224.0,-1,-35.0,-1750.0,100,session_end,MR,RANGE
train,20170801,113500,162900,2017-08-01 11:35:00,2017-08-01 16:29:00,27446.0,27509.0,-1,-65.0,-3250.0,234,session_end,MR,RANGE
train,20170802,130300,152000,2017-08-02 13:03:00,2017-08-02 15:20:00,27622.0,27533.0,1,-91.0,-4550.0,137,stop_loss,ORB,TREND
train,20170803,133000,144200,2017-08-03 13:30:00,2017-08-03 14:42:00,27510.0,27475.0,-1,33.0,1650.0,72,mr_exit,MR,RANGE
train,20170803,144800,162900,2017-08-03 14:48:00,2017-08-03 16:29:00,27498.0,27500.0,-1,-4.0,-200.0,101,session_end,MR,RANGE
train,20170804,143500,150200,2017-08-04 14:35:00,2017-08-04 15:02:00,27499.0,27514.0,1,13.0,650.0,27,mr_exit,MR,RANGE
train,20170804,151600,152600,2017-08-04 15:16:00,2017-08-04 15:26:00,27496.0,27509.0,1,11.0,550.0,10,mr_exit,MR,RANGE
train,20170804,154400,162900,2017-08-04 15:44:00,2017-08-04 16:29:00,27527.0,27529.0,-1,-4.0,-200.0,45,session_end,MR,RANGE
train,20170807,145000,152300,2017-08-07 14:50:00,2017-08-07 15:23:00,27609.0,27629.0,1,18.0,900.0,33,mr_exit,MR,RANGE
train,20170808,130500,132200,2017-08-08 13:05:00,2017-08-08 13:22:00,27645.0,27738.0,-1,-95.0,-4750.0,17,stop_loss,MR,RANGE
train,20170808,132300,162900,2017-08-08 13:23:00,2017-08-08 16:29:00,27724.0,27792.0,1,66.0,3300.0,186,session_end,ORB,TREND
train,20170809,114600,133700,2017-08-09 11:46:00,2017-08-09 13:37:00,27557.0,27642.0,-1,-87.0,-4350.0,51,stop_loss,ORB,TREND
train,20170810,101500,102700,2017-08-10 10:15:00,2017-08-10 10:27:00,27536.0,27373.0,-1,161.0,8050.0,12,take_profit,ORB,TREND
train,20170810,102800,110000,2017-08-10 10:28:00,2017-08-10 11:00:00,27354.0,27240.0,-1,112.0,5600.0,32,regime_extreme,ORB,TREND
train,20170810,150900,155300,2017-08-10 15:09:00,2017-08-10 15:53:00,27369.0,27428.0,1,57.0,2850.0,44,mr_exit,MR,RANGE
train,20170811,113900,133400,2017-08-11 11:39:00,2017-08-11 13:34:00,26928.0,26841.0,1,-89.0,-4450.0,55,stop_loss,MR,RANGE
train,20170811,133500,140900,2017-08-11 13:35:00,2017-08-11 14:09:00,26842.0,26988.0,1,144.0,7200.0,34,take_profit,MR,RANGE
train,20170811,144400,162900,2017-08-11 14:44:00,2017-08-11 16:29:00,26890.0,26866.0,1,-26.0,-1300.0,105,session_end,MR,RANGE
train,20170814,114800,133100,2017-08-14 11:48:00,2017-08-14 13:31:00,27177.0,27108.0,-1,67.0,3350.0,43,mr_exit,MR,RANGE
train,20170814,142800,162900,2017-08-14 14:28:00,2017-08-14 16:29:00,27158.0,27186.0,-1,-30.0,-1500.0,121,session_end,MR,RANGE
train,20170815,131900,145400,2017-08-15 13:19:00,2017-08-15 14:54:00,27242.0,27287.0,1,43.0,2150.0,95,mr_exit,MR,RANGE
train,20170815,153700,154700,2017-08-15 15:37:00,2017-08-15 15:47:00,27255.0,27143.0,1,-114.0,-5700.0,10,stop_loss,MR,RANGE
train,20170815,154800,162900,2017-08-15 15:48:00,2017-08-15 16:29:00,27160.0,27125.0,1,-37.0,-1850.0,41,session_end,MR,RANGE
train,20170816,114500,115600,2017-08-16 11:45:00,2017-08-16 11:56:00,27245.0,27329.0,-1,-86.0,-4300.0,11,stop_loss,MR,RANGE
train,20170816,115700,162900,2017-08-16 11:57:00,2017-08-16 16:29:00,27317.0,27373.0,1,54.0,2700.0,212,session_end,ORB,TREND
train,20170817,131100,133700,2017-08-17 13:11:00,2017-08-17 13:37:00,27325.0,27235.0,1,-92.0,-4600.0,26,stop_loss,MR,RANGE
train,20170817,133800,153200,2017-08-17 13:38:00,2017-08-17 15:32:00,27253.0,27358.0,1,103.0,5150.0,114,mr_exit,MR,RANGE
train,20170817,162200,162900,2017-08-17 16:22:00,2017-08-17 16:29:00,27290.0,27271.0,1,-21.0,-1050.0,7,session_end,MR,RANGE
train,20170818,111400,132000,2017-08-18 11:14:00,2017-08-18 13:20:00,27095.0,27185.0,-1,-92.0,-4600.0,66,stop_loss,MR,RANGE
train,20170818,132100,150200,2017-08-18 13:21:00,2017-08-18 15:02:00,27180.0,27074.0,-1,104.0,5200.0,101,mr_exit,MR,RANGE
train,20170821,152300,153800,2017-08-21 15:23:00,2017-08-21 15:38:00,27176.0,27142.0,-1,32.0,1600.0,15,mr_exit,MR,RANGE
train,20170822,115600,131600,2017-08-22 11:56:00,2017-08-22 13:16:00,27438.0,27384.0,-1,52.0,2600.0,20,mr_exit,MR,RANGE
train,20170822,134900,161100,2017-08-22 13:49:00,2017-08-22 16:11:00,27421.0,27410.0,-1,9.0,450.0,142,mr_exit,MR,RANGE
train,20170824,143100,150100,2017-08-24 14:31:00,2017-08-24 15:01:00,27500.0,27529.0,1,27.0,1350.0,30,mr_exit,MR,RANGE
train,20170824,151800,162900,2017-08-24 15:18:00,2017-08-24 16:29:00,27508.0,27525.0,1,15.0,750.0,71,session_end,MR,RANGE
train,20170825,102700,130800,2017-08-25 10:27:00,2017-08-25 13:08:00,27637.0,27762.0,1,123.0,6150.0,101,take_profit,ORB,TREND
train,20170825,130900,150700,2017-08-25 13:09:00,2017-08-25 15:07:00,27756.0,27837.0,-1,-83.0,-4150.0,118,stop_loss,MR,RANGE
train,20170825,150800,162900,2017-08-25 15:08:00,2017-08-25 16:29:00,27830.0,27910.0,-1,-82.0,-4100.0,81,session_end,MR,RANGE
train,20170828,140300,145600,2017-08-28 14:03:00,2017-08-28 14:56:00,27928.0,27832.0,1,-98.0,-4900.0,53,stop_loss,MR,RANGE
train,20170828,145700,162900,2017-08-28 14:57:00,2017-08-28 16:29:00,27841.0,27879.0,1,36.0,1800.0,92,session_end,MR,RANGE
train,20170829,141200,150400,2017-08-29 14:12:00,2017-08-29 15:04:00,27781.0,27760.0,-1,19.0,950.0,52,mr_exit,MR,RANGE
train,20170830,130400,141700,2017-08-30 13:04:00,2017-08-30 14:17:00,27857.0,27940.0,-1,-85.0,-4250.0,73,stop_loss,MR,RANGE
train,20170830,141800,162900,2017-08-30 14:18:00,2017-08-30 16:29:00,27944.0,27975.0,1,29.0,1450.0,131,session_end,ORB,TREND
train,20170831,131200,150100,2017-08-31 13:12:00,2017-08-31 15:01:00,27856.0,27881.0,1,23.0,1150.0,109,mr_exit,MR,RANGE
train,20170901,131400,142300,2017-09-01 13:14:00,2017-09-01 14:23:00,27958.0,27857.0,1,-103.0,-5150.0,69,stop_loss,MR,RANGE
train,20170901,143400,162900,2017-09-01 14:34:00,2017-09-01 16:29:00,27858.0,27863.0,1,3.0,150.0,115,session_end,MR,RANGE
train,20170904,134900,142100,2017-09-04 13:49:00,2017-09-04 14:21:00,27772.0,27681.0,1,-93.0,-4650.0,32,stop_loss,MR,RANGE
