date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20170703,104000,140300,2017-07-03 10:40:00,2017-07-03 14:03:00,25666.0,25686.0,-1,-22.0,-1100.0,143,mr_exit,MR,RANGE
20170703,140600,141700,2017-07-03 14:06:00,2017-07-03 14:17:00,25663.0,25679.0,-1,-18.0,-900.0,11,mr_exit,MR,RANGE
20170703,142300,153100,2017-07-03 14:23:00,2017-07-03 15:31:00,25689.0,25656.0,-1,31.0,1550.0,68,mr_exit,MR,RANGE
20170704,110000,112800,2017-07-04 11:00:00,2017-07-04 11:28:00,25662.0,25576.0,1,-88.0,-4400.0,28,stop_loss,MR,RANGE
20170704,112900,115500,2017-07-04 11:29:00,2017-07-04 11:55:00,25585.0,25414.0,-1,169.0,8450.0,26,take_profit,ORB,TREND
20170704,140400,162900,2017-07-04 14:04:00,2017-07-04 16:29:00,25276.0,25299.0,1,21.0,1050.0,145,session_end,MR,RANGE
20170705,103200,111000,2017-07-05 10:32:00,2017-07-05 11:10:00,25308.0,25424.0,-1,-118.0,-5900.0,38,stop_loss,MR,RANGE
20170705,111100,162900,2017-07-05 11:11:00,2017-07-05 16:29:00,25409.0,25461.0,-1,-54.0,-2700.0,258,session_end,MR,RANGE
20170706,112600,161300,2017-07-06 11:26:00,2017-07-06 16:13:00,25468.0,25469.0,1,-1.0,-50.0,227,mr_exit,MR,RANGE
20170707,105200,105700,2017-07-07 10:52:00,2017-07-07 10:57:00,25293.0,25326.0,1,31.0,1550.0,5,mr_exit,MR,RANGE
20170707,130500,142700,2017-07-07 13:05:00,2017-07-07 14:27:00,25334.0,25361.0,-1,-29.0,-1450.0,82,mr_exit,MR,RANGE
20170707,143200,151900,2017-07-07 14:32:00,2017-07-07 15:19:00,25365.0,25332.0,-1,31.0,1550.0,47,mr_exit,MR,RANGE
20170710,103100,162900,2017-07-10 10:31:00,2017-07-10 16:29:00,25571.0,25509.0,1,-64.0,-3200.0,298,session_end,ORB,TREND
20170711,101900,131900,2017-07-11 10:19:00,2017-07-11 13:19:00,25722.0,25849.0,1,125.0,6250.0,120,take_profit,ORB,TREND
20170711,132000,162900,2017-07-11 13:20:00,2017-07-11 16:29:00,25862.0,25953.0,1,89.0,4450.0,189,session_end,ORB,TREND
20170712,111800,132000,2017-07-12 11:18:00,2017-07-12 13:20:00,26099.0,26071.0,-1,26.0,1300.0,62,mr_exit,MR,RANGE
20170712,133800,134400,2017-07-12 13:38:00,2017-07-12 13:44:00,26088.0,26066.0,-1,20.0,1000.0,6,mr_exit,MR,RANGE
20170712,140100,143200,2017-07-12 14:01:00,2017-07-12 14:32:00,26044.0,26061.0,1,15.0,750.0,31,mr_exit,MR,RANGE
20170713,110900,113000,2017-07-13 11:09:00,2017-07-13 11:30:00,26376.0,26346.0,-1,28.0,1400.0,21,mr_exit,MR,RANGE
20170713,133400,150400,2017-07-13 13:34:00,2017-07-13 15:04:00,26327.0,26338.0,1,9.0,450.0,90,mr_exit,MR,RANGE
20170713,154600,162900,2017-07-13 15:46:00,2017-07-13 16:29:00,26378.0,26374.0,-1,2.0,100.0,43,session_end,MR,RANGE
20170714,104300,105000,2017-07-14 10:43:00,2017-07-14 10:50:00,26351.0,26363.0,1,10.0,500.0,7,mr_exit,MR,RANGE
20170714,113300,130100,2017-07-14 11:33:00,2017-07-14 13:01:00,26381.0,26367.0,-1,12.0,600.0,28,mr_exit,MR,RANGE
20170714,132900,140600,2017-07-14 13:29:00,2017-07-14 14:06:00,26383.0,26374.0,-1,7.0,350.0,37,mr_exit,MR,RANGE
20170717,111500,131300,2017-07-17 11:15:00,2017-07-17 13:13:00,26548.0,26512.0,-1,34.0,1700.0,58,mr_exit,MR,RANGE
20170717,135300,140400,2017-07-17 13:53:00,2017-07-17 14:04:00,26536.0,26520.0,-1,14.0,700.0,11,mr_exit,MR,RANGE
20170717,141200,160200,2017-07-17 14:12:00,2017-07-17 16:02:00,26492.0,26495.0,1,1.0,50.0,110,mr_exit,MR,RANGE
20170718,110200,133100,2017-07-18 11:02:00,2017-07-18 13:31:00,26425.0,26475.0,1,48.0,2400.0,89,mr_exit,MR,RANGE
20170718,142200,150100,2017-07-18 14:22:00,2017-07-18 15:01:00,26498.0,26474.0,-1,22.0,1100.0,39,mr_exit,MR,RANGE
20170718,155200,155400,2017-07-18 15:52:00,2017-07-18 15:54:00,26487.0,26486.0,-1,-1.0,-50.0,2,mr_exit,MR,RANGE
20170719,101600,162900,2017-07-19 10:16:00,2017-07-19 16:29:00,26651.0,26675.0,-1,-26.0,-1300.0,313,session_end,MR,RANGE
20170720,104100,105100,2017-07-20 10:41:00,2017-07-20 10:51:00,26694.0,26715.0,1,19.0,950.0,10,mr_exit,MR,RANGE
20170720,111100,130800,2017-07-20 11:11:00,2017-07-20 13:08:00,26740.0,26741.0,-1,-3.0,-150.0,57,mr_exit,MR,RANGE
20170720,132000,142500,2017-07-20 13:20:00,2017-07-20 14:25:00,26729.0,26730.0,-1,-3.0,-150.0,65,mr_exit,MR,RANGE
20170721,105400,130600,2017-07-21 10:54:00,2017-07-21 13:06:00,26697.0,26726.0,1,27.0,1350.0,72,mr_exit,MR,RANGE
20170721,140100,141300,2017-07-21 14:01:00,2017-07-21 14:13:00,26744.0,26744.0,-1,-2.0,-100.0,12,mr_exit,MR,RANGE
