date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20170703,142900,162900,2017-07-03 14:29:00,2017-07-03 16:29:00,25719.0,25687.0,1,-34.0,-1700.0,120,session_end,ORB,TREND
20170704,110100,115200,2017-07-04 11:01:00,2017-07-04 11:52:00,25647.0,25498.0,-1,147.0,7350.0,51,take_profit,ORB,TREND
20170704,115300,115600,2017-07-04 11:53:00,2017-07-04 11:56:00,25504.0,25337.0,-1,165.0,8250.0,3,take_profit,ORB,TREND
20170704,115700,115800,2017-07-04 11:57:00,2017-07-04 11:58:00,25357.0,25440.0,-1,-85.0,-4250.0,1,stop_loss,ORB,TREND
20170705,103200,131300,2017-07-05 10:32:00,2017-07-05 13:13:00,25312.0,25471.0,1,157.0,7850.0,101,take_profit,ORB,TREND
20170705,131400,140800,2017-07-05 13:14:00,2017-07-05 14:08:00,25481.0,25393.0,1,-90.0,-4500.0,54,stop_loss,ORB,TREND
20170705,140900,162900,2017-07-05 14:09:00,2017-07-05 16:29:00,25405.0,25457.0,1,50.0,2500.0,140,session_end,ORB,TREND
20170706,95500,162900,2017-07-06 09:55:00,2017-07-06 16:29:00,25482.0,25491.0,-1,-11.0,-550.0,334,session_end,ORB,TREND
20170707,94600,132000,2017-07-07 09:46:00,2017-07-07 13:20:00,25276.0,25363.0,-1,-89.0,-4450.0,154,stop_loss,ORB,TREND
20170710,95000,103200,2017-07-10 09:50:00,2017-07-10 10:32:00,25453.0,25582.0,1,127.0,6350.0,42,take_profit,ORB,TREND
20170710,103300,152500,2017-07-10 10:33:00,2017-07-10 15:25:00,25577.0,25493.0,1,-86.0,-4300.0,232,stop_loss,ORB,TREND
20170710,152600,162900,2017-07-10 15:26:00,2017-07-10 16:29:00,25495.0,25509.0,1,12.0,600.0,63,session_end,ORB,TREND
20170711,100400,131800,2017-07-11 10:04:00,2017-07-11 13:18:00,25706.0,25833.0,1,125.0,6250.0,134,take_profit,ORB,TREND
20170711,131900,162900,2017-07-11 13:19:00,2017-07-11 16:29:00,25853.0,25953.0,1,98.0,4900.0,190,session_end,ORB,TREND
20170713,100800,110900,2017-07-13 10:08:00,2017-07-13 11:09:00,26297.0,26380.0,-1,-85.0,-4250.0,61,stop_loss,ORB,TREND
20170713,144400,154600,2017-07-13 14:44:00,2017-07-13 15:46:00,26290.0,26382.0,-1,-94.0,-4700.0,62,stop_loss,ORB,TREND
20170717,94600,111400,2017-07-17 09:46:00,2017-07-17 11:14:00,26460.0,26545.0,-1,-87.0,-4350.0,88,stop_loss,ORB,TREND
20170717,143000,162900,2017-07-17 14:30:00,2017-07-17 16:29:00,26463.0,26503.0,-1,-42.0,-2100.0,119,session_end,ORB,TREND
20170718,105300,160500,2017-07-18 10:53:00,2017-07-18 16:05:00,26427.0,26509.0,-1,-84.0,-4200.0,252,stop_loss,ORB,TREND
20170718,161900,162900,2017-07-18 16:19:00,2017-07-18 16:29:00,26547.0,26544.0,1,-5.0,-250.0,10,session_end,ORB,TREND
20170719,101600,162900,2017-07-19 10:16:00,2017-07-19 16:29:00,26655.0,26671.0,1,14.0,700.0,313,session_end,ORB,TREND
20170720,95000,162900,2017-07-20 09:50:00,2017-07-20 16:29:00,26696.0,26745.0,-1,-51.0,-2550.0,339,session_end,ORB,TREND
20170721,111100,162600,2017-07-21 11:11:00,2017-07-21 16:26:00,26679.0,26771.0,-1,-94.0,-4700.0,255,stop_loss,ORB,TREND
20170724,94600,162900,2017-07-24 09:46:00,2017-07-24 16:29:00,26797.0,26875.0,1,76.0,3800.0,343,session_end,ORB,TREND
20170726,100300,162900,2017-07-26 10:03:00,2017-07-26 16:29:00,26880.0,26920.0,-1,-42.0,-2100.0,326,session_end,ORB,TREND
20170727,102100,162900,2017-07-27 10:21:00,2017-07-27 16:29:00,27045.0,27126.0,1,79.0,3950.0,308,session_end,ORB,TREND
