split,strategy,regime_at_entry,num_entries,pnl_points,extreme_exits
train,HYBRID_ORIGINAL,TREND,158,2068.0,15
train,HYBRID_ORIGINAL,RANGE,776,-8690.0,10
train,HYBRID_ORIGINAL,EXTREME,0,0.0,0
train,ORB_FILTERED_HYBRID_FILTERED,TREND,205,1433.0,12
train,ORB_FILTERED_HYBRID_FILTERED,RANGE,0,0.0,0
train,ORB_FILTERED_HYBRID_FILTERED,EXTREME,0,0.0,0
train,ORB_CONFIRMED_HYBRID_BALANCED,TREND,158,858.0,3
train,ORB_CONFIRMED_HYBRID_BALANCED,RANGE,0,0.0,0
train,ORB_CONFIRMED_HYBRID_BALANCED,EXTREME,0,0.0,0
train,ORB_CONFIRMED_HYBRID_STRICT,TREND,6,324.0,0
train,ORB_CONFIRMED_HYBRID_STRICT,RANGE,0,0.0,0
train,ORB_CONFIRMED_HYBRID_STRICT,EXTREME,0,0.0,0
train,INTRADAY_LONG,TREND,0,0.0,0
train,INTRADAY_LONG,RANGE,486,-5313.0,0
train,INTRADAY_LONG,EXTREME,0,0.0,0
train,FLAT,TREND,0,0.0,0
train,FLAT,RANGE,0,0.0,0
train,FLAT,EXTREME,0,0.0,0
val,HYBRID_ORIGINAL,TREND,39,533.0,1
val,HYBRID_ORIGINAL,RANGE,175,-1712.0,10
val,HYBRID_ORIGINAL,EXTREME,0,0.0,0
val,ORB_FILTERED_HYBRID_FILTERED,TREND,37,101.0,2
val,ORB_FILTERED_HYBRID_FILTERED,RANGE,0,0.0,0
val,ORB_FILTERED_HYBRID_FILTERED,EXTREME,0,0.0,0
val,ORB_CONFIRMED_HYBRID_BALANCED,TREND,26,613.0,0
val,ORB_CONFIRMED_HYBRID_BALANCED,RANGE,0,0.0,0
val,ORB_CONFIRMED_HYBRID_BALANCED,EXTREME,0,0.0,0
val,ORB_CONFIRMED_HYBRID_STRICT,TREND,2,164.0,1
val,ORB_CONFIRMED_HYBRID_STRICT,RANGE,0,0.0,0
val,ORB_CONFIRMED_HYBRID_STRICT,EXTREME,0,0.0,0
val,INTRADAY_LONG,TREND,0,0.0,0
val,INTRADAY_LONG,RANGE,123,2117.0,0
val,INTRADAY_LONG,EXTREME,0,0.0,0
val,FLAT,TREND,0,0.0,0
val,FLAT,RANGE,0,0.0,0
val,FLAT,EXTREME,0,0.0,0
test,HYBRID_ORIGINAL,TREND,39,-742.0,5
test,HYBRID_ORIGINAL,RANGE,176,-2835.0,8
test,HYBRID_ORIGINAL,EXTREME,0,0.0,0
test,ORB_FILTERED_HYBRID_FILTERED,TREND,35,-142.0,0
test,ORB_FILTERED_HYBRID_FILTERED,RANGE,0,0.0,0
test,ORB_FILTERED_HYBRID_FILTERED,EXTREME,0,0.0,0
test,ORB_CONFIRMED_HYBRID_BALANCED,TREND,24,-177.0,0
test,ORB_CONFIRMED_HYBRID_BALANCED,RANGE,0,0.0,0
test,ORB_CONFIRMED_HYBRID_BALANCED,EXTREME,0,0.0,0
test,ORB_CONFIRMED_HYBRID_STRICT,TREND,0,0.0,0
test,ORB_CONFIRMED_HYBRID_STRICT,RANGE,0,0.0,0
test,ORB_CONFIRMED_HYBRID_STRICT,EXTREME,0,0.0,0
test,INTRADAY_LONG,TREND,0,0.0,0
test,INTRADAY_LONG,RANGE,107,338.0,0
test,INTRADAY_LONG,EXTREME,0,0.0,0
test,FLAT,TREND,0,0.0,0
test,FLAT,RANGE,0,0.0,0
test,FLAT,EXTREME,0,0.0,0
