split,strategy,month,pnl_points,pnl_hkd
train,HYBRID,2017-07,318.0,15900.0
train,HYBRID,2017-08,70.0,3500.0
train,HYBRID,2017-09,-654.0,-32700.0
train,HYBRID,2017-10,125.0,6250.0
train,HYBRID,2017-11,-483.0,-24150.0
train,HYBRID,2017-12,-93.0,-4650.0
train,HYBRID,2018-01,-803.0,-40150.0
train,HYBRID,2018-02,-873.0,-43650.0
train,HYBRID,2018-03,-255.0,-12750.0
train,HYBRID,2018-04,-931.0,-46550.0
train,HYBRID,2018-05,159.0,7950.0
train,HYBRID,2018-06,-421.0,-21050.0
train,HYBRID,2018-07,-594.0,-29700.0
train,HYBRID,2018-08,-383.0,-19150.0
train,HYBRID,2018-09,-265.0,-13250.0
train,HYBRID,2018-10,-198.0,-9900.0
train,HYBRID,2018-11,-836.0,-41800.0
train,HYBRID,2018-12,70.0,3500.0
train,HYBRID,2019-01,-444.0,-22200.0
train,HYBRID,2019-02,-419.0,-20950.0
train,HYBRID,2019-03,248.0,12400.0
train,HYBRID,2019-04,137.0,6850.0
train,HYBRID,2019-05,493.0,24650.0
train,HYBRID,2019-06,-590.0,-29500.0
val,HYBRID,2019-07,16.0,800.0
val,HYBRID,2019-08,-849.0,-42450.0
val,HYBRID,2019-09,-391.0,-19550.0
val,HYBRID,2019-10,134.0,6700.0
val,HYBRID,2019-11,-127.0,-6350.0
val,HYBRID,2019-12,38.0,1900.0
test,HYBRID,2020-01,-1277.0,-63850.0
test,HYBRID,2020-02,9.0,450.0
test,HYBRID,2020-03,-250.0,-12500.0
test,HYBRID,2020-04,-919.0,-45950.0
test,HYBRID,2020-05,-791.0,-39550.0
test,HYBRID,2020-06,-349.0,-17450.0
