strategy,params_json,opening_window,buffer_points,rolling_window,z_entry,z_exit,use_vwap,min_std_threshold,er_window,er_threshold,rv_window,extreme_vol_quantile,extreme_action,stop_loss_points,take_profit_points,max_trades,max_daily_loss,forced_exit_time,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,120,1.5,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-11257.0,-562850.0,-23.162551440329217,120.76042704066488,-3.044822828601748,-3.9748410566391663,-5836.962962962963,-12782.0,485,-0.4566549024380349,-269.0,-288.45,1251,2.574074074074074,0.5323741007194245,51.62462462462462,-78.55249569707401,-8.998401278976818,0.7533469182059204,60.234212629896085,-180.0,12,11
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,120,1.5,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-11541.0,-577050.0,-23.746913580246915,116.73501467104114,-3.2292844395861566,-4.287026325085347,-5984.222222222223,-12646.0,485,-0.47321067706960485,-268.0,-288.45,1281,2.6358024691358026,0.5487900078064013,47.61877667140825,-78.2904347826087,-9.009367681498828,0.7436301841526535,55.988290398126466,-180.0,12,9
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,120,1.5,0.25,True,5,60,0.35,60,0.9,close,50,120,3,200,162800,-11017.0,-550850.0,-22.66872427983539,109.35868973160063,-3.290592112839044,-4.508100960184164,-5712.518518518518,-11763.0,485,-0.48563449107527995,-206.0,-237.3,1356,2.7901234567901234,0.45132743362831856,55.052287581699346,-60.25471698113208,-8.124631268436579,0.7535842895166521,47.14823008849557,-180.0,11,17
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-11323.0,-566150.0,-23.29835390946502,107.60277981580646,-3.437177952491464,-4.268512684253375,-5871.185185185185,-11626.0,485,-0.5050047467043854,-259.0,-285.45,906,1.8641975308641976,0.4602649006622517,61.34532374100719,-75.77823408624229,-12.497792494481237,0.6931768913938868,64.91280353200882,-169.0,7,9
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-11859.0,-592950.0,-24.401234567901234,102.78740705951826,-3.7685315855221386,-4.6601086498304,-6149.111111111111,-12142.0,480,-0.5064331338421274,-242.25,-282.45,949,1.9526748971193415,0.47839831401475236,55.12775330396476,-74.82150101419879,-12.496311907270812,0.678504622224632,59.53951527924131,-154.0,9,8
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,120,1.5,0.25,True,5,60,0.35,60,0.9,close,50,80,3,200,162800,-12065.0,-603250.0,-24.825102880658438,103.9455461500029,-3.7912763515061054,-5.406476131896415,-6255.925925925926,-12362.0,485,-0.5060609873746906,-203.0,-237.3,1379,2.837448559670782,0.46337926033357507,50.59467918622848,-60.0744248985115,-8.749093546047861,0.7282351616172993,43.56127628716461,-180.0,11,13
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,30,2.0,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-13731.0,-686550.0,-28.253086419753085,117.87917866888215,-3.8047757685852788,-5.469028737300881,-7119.777777777777,-13737.0,485,-0.5182920417687834,-266.0,-283.0,1435,2.9526748971193415,0.5616724738675958,45.94292803970223,-81.60932475884245,-9.568641114982578,0.729497054825555,37.61742160278746,-164.0,12,8
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,30,2.0,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-14271.0,-713550.0,-29.364197530864196,121.95404354165069,-3.822277401853108,-5.580707418435268,-7399.777777777777,-14277.0,485,-0.5183006078152117,-268.5,-283.0,1433,2.948559670781893,0.5478018143754362,48.244585987261146,-81.34633385335414,-9.958827634333566,0.7263103388757839,40.75226796929518,-164.0,12,8
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,120,2.0,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-13374.0,-668700.0,-27.51851851851852,113.24027309297611,-3.8576641221527517,-4.749690976838046,-6934.666666666667,-14005.0,485,-0.4951564917291444,-269.75,-290.15,1097,2.257201646090535,0.48587055606198726,55.98874296435272,-76.8967971530249,-12.191431175934367,0.6905312847093669,62.23792160437557,-184.0,9,11
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,60,1.5,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-14533.0,-726650.0,-29.903292181069958,122.78220139266895,-3.866195927218678,-5.47235728332492,-7535.62962962963,-14522.0,485,-0.518911281478421,-270.0,-292.0,1404,2.888888888888889,0.561965811965812,46.82256020278834,-84.24877250409165,-10.351139601139602,0.7176742559639444,52.47934472934473,-185.0,14,6
