strategy,params_json,opening_window,buffer_points,rolling_window,z_entry,z_exit,use_vwap,min_std_threshold,er_window,er_threshold,rv_window,extreme_vol_quantile,extreme_action,stop_loss_points,take_profit_points,max_trades,max_daily_loss,forced_exit_time,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,180,2,200,162800,3193.0,159650.0,6.5699588477366255,154.9640671445406,0.6730261107109297,1.2802407256684705,1655.6296296296296,-1430.0,194,1.1577829577829577,-259.0,-276.3,701,1.4423868312757202,0.4664764621968616,126.29969418960245,-102.16353887399464,4.554921540656205,1.0837903797202613,145.87589158345222,-184.0,9,8
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,180,3,200,162800,2432.0,121600.0,5.004115226337449,159.23579087765432,0.49886941928676093,0.9820991510473366,1261.0370370370372,-1541.0,165,0.8183238397385056,-259.0,-276.3,794,1.6337448559670782,0.4622166246851385,122.3024523160763,-99.65492957746478,3.0629722921914357,1.0572868819635832,139.33627204030228,-184.0,9,8
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,180,2,200,162800,2143.0,107150.0,4.409465020576132,142.15604549597393,0.49240316802199574,1.1615182519918101,1111.1851851851852,-1371.0,208,0.8104924764297485,-184.0,-203.0,756,1.5555555555555556,0.4021164021164021,129.32894736842104,-82.24115044247787,2.8346560846560847,1.0576493691657924,113.16402116402116,-184.0,9,12
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,80,2,200,162800,1680.0,84000.0,3.45679012345679,127.40325290472921,0.43071774665204504,0.7400962033653615,871.1111111111111,-1459.0,134,0.5970603914401036,-244.5,-275.15,801,1.6481481481481481,0.5717852684144819,80.71834061135371,-103.1842105263158,2.097378277153558,1.0476069030009352,93.18976279650437,-160.0,12,6
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,120,3,200,162800,1741.0,87050.0,3.5823045267489713,152.5148511127227,0.3728641569970258,0.7421893463763727,902.7407407407408,-1208.0,164,0.7473019376992888,-255.0,-276.3,910,1.8724279835390947,0.5,103.77142857142857,-100.38631346578366,1.9131868131868133,1.0382847718526662,113.58571428571429,-211.0,8,8
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,120,2,200,162800,1548.0,77400.0,3.185185185185185,141.1696598148259,0.3581736142486123,0.5905535365153157,802.6666666666666,-2157.0,284,0.3721217740689229,-255.0,-276.3,758,1.559670781893004,0.4947229551451187,106.656,-100.64921465968587,2.0422163588390503,1.0402621722846441,119.31662269129288,-184.0,8,9
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,50,180,2,200,162800,781.0,39050.0,1.6069958847736625,127.14780696864602,0.20063475275183168,0.6388810218505289,404.96296296296293,-1917.0,217,0.21124828532235937,-135.75,-152.15,818,1.683127572016461,0.31662591687041564,132.28571428571428,-59.894454382826474,0.9547677261613692,1.0233266628834263,79.28484107579462,-147.0,5,15
ORB,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,180,2,200,162800,904.0,45200.0,1.860082304526749,160.7198656919376,0.18372272181919444,0.34087426678810107,468.74074074074076,-2740.0,194,0.17107326304406598,-262.0,-282.0,742,1.5267489711934157,0.4501347708894879,129.33532934131736,-103.66176470588235,1.2183288409703503,1.0213741901924622,148.32749326145552,-184.0,9,8
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,120,2,200,162800,522.0,26100.0,1.0740740740740742,129.2411582118677,0.1319269927155925,0.2857875877773915,270.6666666666667,-2673.0,212,0.10125950866691608,-184.0,-202.15,800,1.646090534979424,0.4325,108.34682080924856,-81.42290748898678,0.6525,1.0141210842395716,89.55875,-184.0,8,12
ORB,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,180,3,200,162800,540.0,27000.0,1.1111111111111112,165.7190891081815,0.10643518600473131,0.20268593481368224,280.0,-2326.0,194,0.12037833190025796,-262.0,-282.0,845,1.7386831275720165,0.450887573964497,124.83202099737532,-101.33836206896552,0.6390532544378699,1.0114842304502243,141.8958579881657,-184.0,9,8
