strategy,params_json,opening_window,buffer_points,rolling_window,z_entry,z_exit,use_vwap,min_std_threshold,er_window,er_threshold,rv_window,extreme_vol_quantile,extreme_action,stop_loss_points,take_profit_points,max_trades,max_daily_loss,forced_exit_time,extreme_vol_threshold,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.00627186515335333, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,120,0.9,close,80,120,3,200,162800,0.00627186515335333,-6220.0,-311000.0,-12.798353909465021,103.50373506566092,-1.9629008526477656,-2.6074022725386885,-3225.185185185185,-7306.0,475,-0.44144335959282577,-208.25,-272.3,915,1.882716049382716,0.49398907103825135,60.030973451327434,-72.50869565217391,-6.797814207650274,0.8135156203154045,65.68415300546448,-137.0,7,9
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.00627186515335333, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,120,0.9,block_only,80,120,3,200,162800,0.00627186515335333,-6472.0,-323600.0,-13.316872427983538,105.34093105707446,-2.006805844531284,-2.660270739939262,-3355.8518518518517,-7509.0,475,-0.44691062083524463,-210.5,-274.6,903,1.8580246913580247,0.48726467331118495,63.89545454545455,-75.18695652173913,-7.167220376522702,0.8128722604522061,68.72978959025471,-184.0,7,11
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.00545138283487605, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,60,0.95,close,80,120,3,200,162800,0.00545138283487605,-6622.0,-331100.0,-13.62551440329218,105.65036525052767,-2.0473032446762716,-2.7493717310214296,-3433.6296296296296,-7837.0,475,-0.43813061498400274,-212.0,-272.3,934,1.9218106995884774,0.4817987152034261,64.28888888888889,-73.91268191268192,-7.089935760171306,0.8137376237623762,66.83511777301928,-137.0,7,13
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.004687504506028113, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,60,0.9,block_only,80,120,3,200,162800,0.004687504506028113,-6845.0,-342250.0,-14.084362139917696,102.93390473815631,-2.172095949842027,-2.8563603474296464,-3549.259259259259,-7848.0,475,-0.45225016045607275,-208.25,-272.0,911,1.874485596707819,0.4829857299670692,63.9,-74.70299145299145,-7.513721185510428,0.8042104058808387,68.18551042810098,-137.0,7,9
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.007302276055988706, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,120,0.95,close,80,120,3,200,162800,0.007302276055988706,-7059.0,-352950.0,-14.524691358024691,105.8359672625492,-2.178581943204896,-2.9022632825349572,-3660.222222222222,-8213.0,475,-0.44566202632682606,-218.5,-272.0,926,1.9053497942386832,0.48272138228941686,63.09395973154363,-74.0798319327731,-7.623110151187905,0.7998128296750042,66.53023758099351,-137.0,7,8
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.007302276055988706, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,120,0.95,block_only,80,120,3,200,162800,0.007302276055988706,-7151.0,-357550.0,-14.713991769547325,107.06850340965558,-2.181569468641478,-2.8731341359215703,-3707.925925925926,-8183.0,475,-0.4531254950416627,-221.5,-274.45,922,1.897119341563786,0.4837310195227766,64.3677130044843,-75.81183932346723,-7.7559652928416485,0.8005800496388633,67.97830802603036,-184.0,7,11
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.004687504506028113, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,0.004687504506028113,-7215.0,-360750.0,-14.845679012345679,101.61264051902863,-2.319276883855934,-3.085348664395322,-3741.111111111111,-8176.0,475,-0.45757229832572294,-205.0,-271.15,921,1.8950617283950617,0.48751357220412594,60.89309576837417,-73.68017057569297,-7.833876221498372,0.791208473202917,65.9370249728556,-137.0,7,9
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.00545138283487605, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,60,0.95,block_only,80,120,3,200,162800,0.00545138283487605,-7640.0,-382000.0,-15.720164609053498,106.71142261380218,-2.338548869791281,-3.111379671927184,-3961.4814814814813,-8753.0,475,-0.4525855685458107,-225.0,-274.45,930,1.9135802469135803,0.478494623655914,65.0943820224719,-75.94813278008299,-8.21505376344086,0.7912967465238889,67.93763440860215,-154.0,7,9
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.00627186515335333, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,120,0.9,block_only,80,120,3,200,162800,0.00627186515335333,-10452.0,-522600.0,-21.506172839506174,101.88183454002075,-3.350939953702186,-4.012799639263107,-5419.555555555556,-10587.0,481,-0.5119066360211161,-249.5,-281.6,869,1.7880658436213992,0.4626006904487917,59.34825870646766,-73.78494623655914,-12.027617951668585,0.695365782570679,66.45684695051784,-137.0,7,12
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.004687504506028113, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,60,0.9,block_only,80,120,3,200,162800,0.004687504506028113,-10811.0,-540550.0,-22.244855967078188,104.40081231800659,-3.3824079831909026,-4.154214307164339,-5605.7037037037035,-11039.0,481,-0.5078090138331102,-244.5,-280.75,890,1.831275720164609,0.4584269662921348,60.51960784313726,-73.96458333333334,-12.147191011235956,0.6954905219277244,65.53932584269663,-137.0,7,12
