split,strategy,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_points,max_drawdown_duration_days,var_95,var_99
train,BUY_AND_HOLD,0.7200822998230956,0.0,0.0,0.0,0,0.0,0.0
train,INTRADAY_LONG,-0.6986342859975552,-0.9664228383034815,-0.28134077705156135,-9792.0,342,-439.75,-701.25
train,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0
train,ORB,0.6730261107109297,1.2802407256684705,1.1577829577829577,-1430.0,194,-259.0,-276.3
train,MR,-3.437177952491464,-4.268512684253375,-0.5050047467043854,-11626.0,485,-259.0,-285.45
train,HYBRID,-2.0473032446762716,-2.7493717310214296,-0.43813061498400274,-7837.0,475,-212.0,-272.3
val,BUY_AND_HOLD,-1.4313561708410938,0.0,-2.048780487804878,-491.0,1,0.0,0.0
val,INTRADAY_LONG,1.1498792778417473,2.1378931896020323,2.6462893793062396,-1639.0,42,-301.8,-492.64
val,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0
val,ORB,1.253206145693159,2.3917483677003513,2.548675054473888,-1041.0,30,-147.9,-268.26
val,MR,-3.8271060491434925,-4.2119122975237655,-1.8695476166379923,-2892.0,112,-206.4,-293.48
val,HYBRID,-2.0010770393513333,-2.5488236950441974,-1.4507580751483191,-1665.0,112,-158.29999999999998,-213.48
test,BUY_AND_HOLD,-1.5346466000079264,0.0,-2.355140186915888,-3502.0,1,0.0,0.0
test,INTRADAY_LONG,0.15156170538371685,0.24638093522823376,0.3007319165763393,-2647.0,55,-469.4,-694.52
test,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0
test,ORB,-1.6867285328400823,-3.6198490108491344,-1.443973619464589,-3187.0,88,-263.7,-274.94
test,MR,-3.558300634943618,-5.238955271676897,-2.3199137311286844,-3276.0,106,-277.09999999999997,-304.52
test,HYBRID,-5.132798350824884,-7.425090865289714,-2.2836368795332422,-3689.0,105,-209.79999999999998,-280.1
