split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,ORB_FILTERED_HYBRID_BASIC,20170704,112700,115500,2017-07-04 11:27:00,2017-07-04 11:55:00,25585.0,25414.0,-1,169.0,8450.0,28,take_profit,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170705,104600,131300,2017-07-05 10:46:00,2017-07-05 13:13:00,25336.0,25471.0,1,133.0,6650.0,87,take_profit,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170705,162600,162900,2017-07-05 16:26:00,2017-07-05 16:29:00,25466.0,25457.0,1,-11.0,-550.0,3,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170710,103100,162900,2017-07-10 10:31:00,2017-07-10 16:29:00,25571.0,25509.0,1,-64.0,-3200.0,298,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170711,101900,131900,2017-07-11 10:19:00,2017-07-11 13:19:00,25722.0,25849.0,1,125.0,6250.0,120,take_profit,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170711,132000,162900,2017-07-11 13:20:00,2017-07-11 16:29:00,25862.0,25953.0,1,89.0,4450.0,189,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170718,162200,162900,2017-07-18 16:22:00,2017-07-18 16:29:00,26553.0,26544.0,1,-11.0,-550.0,7,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170724,101800,162900,2017-07-24 10:18:00,2017-07-24 16:29:00,26894.0,26875.0,1,-21.0,-1050.0,311,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170727,131500,162900,2017-07-27 13:15:00,2017-07-27 16:29:00,27064.0,27126.0,1,60.0,3000.0,194,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170731,150100,162900,2017-07-31 15:01:00,2017-07-31 16:29:00,27223.0,27220.0,1,-5.0,-250.0,88,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170802,130300,152000,2017-08-02 13:03:00,2017-08-02 15:20:00,27622.0,27533.0,1,-91.0,-4550.0,137,stop_loss,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170808,132200,162900,2017-08-08 13:22:00,2017-08-08 16:29:00,27738.0,27792.0,1,52.0,2600.0,187,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170809,114600,133700,2017-08-09 11:46:00,2017-08-09 13:37:00,27557.0,27642.0,-1,-87.0,-4350.0,51,stop_loss,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_BASIC,20170810,101500,102700,2017-08-10 10:15:00,2017-08-10 10:27:00,27536.0,27373.0,-1,161.0,8050.0,12,take_profit,ORB_FILTERED,TREND
