split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,ORB_FILTERED_HYBRID_FILTERED,20170704,112700,115500,2017-07-04 11:27:00,2017-07-04 11:55:00,25585.0,25414.0,-1,169.0,8450.0,28,take_profit,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170705,162600,162900,2017-07-05 16:26:00,2017-07-05 16:29:00,25466.0,25457.0,1,-11.0,-550.0,3,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170710,103100,162900,2017-07-10 10:31:00,2017-07-10 16:29:00,25571.0,25509.0,1,-64.0,-3200.0,298,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170711,101900,131900,2017-07-11 10:19:00,2017-07-11 13:19:00,25722.0,25849.0,1,125.0,6250.0,120,take_profit,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170711,132000,162900,2017-07-11 13:20:00,2017-07-11 16:29:00,25862.0,25953.0,1,89.0,4450.0,189,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170718,162300,162900,2017-07-18 16:23:00,2017-07-18 16:29:00,26558.0,26544.0,1,-16.0,-800.0,6,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170727,131500,162900,2017-07-27 13:15:00,2017-07-27 16:29:00,27064.0,27126.0,1,60.0,3000.0,194,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170731,150100,162900,2017-07-31 15:01:00,2017-07-31 16:29:00,27223.0,27220.0,1,-5.0,-250.0,88,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170802,131700,152000,2017-08-02 13:17:00,2017-08-02 15:20:00,27627.0,27533.0,1,-96.0,-4800.0,123,stop_loss,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170808,132200,162900,2017-08-08 13:22:00,2017-08-08 16:29:00,27738.0,27792.0,1,52.0,2600.0,187,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170809,114600,133700,2017-08-09 11:46:00,2017-08-09 13:37:00,27557.0,27642.0,-1,-87.0,-4350.0,51,stop_loss,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170810,101700,102700,2017-08-10 10:17:00,2017-08-10 10:27:00,27555.0,27373.0,-1,180.0,9000.0,10,take_profit,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170810,102800,110000,2017-08-10 10:28:00,2017-08-10 11:00:00,27354.0,27240.0,-1,112.0,5600.0,32,regime_extreme,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170815,154700,162900,2017-08-15 15:47:00,2017-08-15 16:29:00,27143.0,27129.0,-1,12.0,600.0,42,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170818,113600,150100,2017-08-18 11:36:00,2017-08-18 15:01:00,27162.0,27079.0,1,-85.0,-4250.0,145,stop_loss,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170825,102800,131100,2017-08-25 10:28:00,2017-08-25 13:11:00,27644.0,27776.0,1,130.0,6500.0,103,take_profit,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170825,131800,162900,2017-08-25 13:18:00,2017-08-25 16:29:00,27794.0,27906.0,1,110.0,5500.0,191,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170830,141600,162900,2017-08-30 14:16:00,2017-08-30 16:29:00,27937.0,27975.0,1,36.0,1800.0,133,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170904,142300,154400,2017-09-04 14:23:00,2017-09-04 15:44:00,27644.0,27730.0,-1,-88.0,-4400.0,81,stop_loss,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170907,131100,162900,2017-09-07 13:11:00,2017-09-07 16:29:00,27520.0,27492.0,-1,26.0,1300.0,198,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170913,101600,102600,2017-09-13 10:16:00,2017-09-13 10:26:00,27716.0,27799.0,-1,-85.0,-4250.0,10,stop_loss,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170922,162600,162900,2017-09-22 16:26:00,2017-09-22 16:29:00,27775.0,27803.0,-1,-30.0,-1500.0,3,session_end,ORB_FILTERED,TREND
train,ORB_FILTERED_HYBRID_FILTERED,20170926,102300,132200,2017-09-26 10:23:00,2017-09-26 13:22:00,27539.0,27456.0,1,-85.0,-4250.0,119,stop_loss,ORB_FILTERED,TREND
