split,strategy,regime_at_entry,num_entries,pnl_points,extreme_exits
train,HYBRID_ORIGINAL,TREND,158,2068.0,15
train,HYBRID_ORIGINAL,RANGE,776,-8690.0,10
train,HYBRID_ORIGINAL,EXTREME,0,0.0,0
train,ORB_FILTERED_HYBRID_BASIC,TREND,279,2739.0,21
train,ORB_FILTERED_HYBRID_BASIC,RANGE,0,0.0,0
train,ORB_FILTERED_HYBRID_BASIC,EXTREME,0,0.0,0
train,ORB_FILTERED_HYBRID_FILTERED,TREND,205,1433.0,12
train,ORB_FILTERED_HYBRID_FILTERED,RANGE,0,0.0,0
train,ORB_FILTERED_HYBRID_FILTERED,EXTREME,0,0.0,0
train,ORB,TREND,701,3193.0,0
train,ORB,RANGE,0,0.0,0
train,ORB,EXTREME,0,0.0,0
train,MR,TREND,0,0.0,0
train,MR,RANGE,906,-11323.0,0
train,MR,EXTREME,0,0.0,0
train,INTRADAY_LONG,TREND,0,0.0,0
train,INTRADAY_LONG,RANGE,486,-5313.0,0
train,INTRADAY_LONG,EXTREME,0,0.0,0
train,FLAT,TREND,0,0.0,0
train,FLAT,RANGE,0,0.0,0
train,FLAT,EXTREME,0,0.0,0
val,HYBRID_ORIGINAL,TREND,39,533.0,1
val,HYBRID_ORIGINAL,RANGE,175,-1712.0,10
val,HYBRID_ORIGINAL,EXTREME,0,0.0,0
val,ORB_FILTERED_HYBRID_BASIC,TREND,62,328.0,4
val,ORB_FILTERED_HYBRID_BASIC,RANGE,0,0.0,0
val,ORB_FILTERED_HYBRID_BASIC,EXTREME,0,0.0,0
val,ORB_FILTERED_HYBRID_FILTERED,TREND,37,101.0,2
val,ORB_FILTERED_HYBRID_FILTERED,RANGE,0,0.0,0
val,ORB_FILTERED_HYBRID_FILTERED,EXTREME,0,0.0,0
val,ORB,TREND,153,1295.0,0
val,ORB,RANGE,0,0.0,0
val,ORB,EXTREME,0,0.0,0
val,MR,TREND,0,0.0,0
val,MR,RANGE,213,-2639.0,0
val,MR,EXTREME,0,0.0,0
val,INTRADAY_LONG,TREND,0,0.0,0
val,INTRADAY_LONG,RANGE,123,2117.0,0
val,INTRADAY_LONG,EXTREME,0,0.0,0
val,FLAT,TREND,0,0.0,0
val,FLAT,RANGE,0,0.0,0
val,FLAT,EXTREME,0,0.0,0
test,HYBRID_ORIGINAL,TREND,39,-742.0,5
test,HYBRID_ORIGINAL,RANGE,176,-2835.0,8
test,HYBRID_ORIGINAL,EXTREME,0,0.0,0
test,ORB_FILTERED_HYBRID_BASIC,TREND,60,-335.0,7
test,ORB_FILTERED_HYBRID_BASIC,RANGE,0,0.0,0
test,ORB_FILTERED_HYBRID_BASIC,EXTREME,0,0.0,0
test,ORB_FILTERED_HYBRID_FILTERED,TREND,35,-142.0,0
test,ORB_FILTERED_HYBRID_FILTERED,RANGE,0,0.0,0
test,ORB_FILTERED_HYBRID_FILTERED,EXTREME,0,0.0,0
test,ORB,TREND,164,-1954.0,0
test,ORB,RANGE,0,0.0,0
test,ORB,EXTREME,0,0.0,0
test,MR,TREND,0,0.0,0
test,MR,RANGE,229,-3227.0,0
test,MR,EXTREME,0,0.0,0
test,INTRADAY_LONG,TREND,0,0.0,0
test,INTRADAY_LONG,RANGE,107,338.0,0
test,INTRADAY_LONG,EXTREME,0,0.0,0
test,FLAT,TREND,0,0.0,0
test,FLAT,RANGE,0,0.0,0
test,FLAT,EXTREME,0,0.0,0
