date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20200102,101500,162900,2020-01-02 10:15:00,2020-01-02 16:29:00,28554.0,28594.0,1,38.0,1900.0,314,session_end,EXTREME_LONG,EXTREME
20200108,101500,162900,2020-01-08 10:15:00,2020-01-08 16:29:00,28059.0,28053.0,1,-8.0,-400.0,314,session_end,EXTREME_LONG,EXTREME
20200117,101500,103900,2020-01-17 10:15:00,2020-01-17 10:39:00,29125.0,28938.0,1,-189.0,-9450.0,24,stop_loss,EXTREME_LONG,EXTREME
20200122,101500,162900,2020-01-22 10:15:00,2020-01-22 16:29:00,28102.0,28330.0,1,226.0,11300.0,314,session_end,EXTREME_LONG,EXTREME
20200123,101600,111900,2020-01-23 10:16:00,2020-01-23 11:19:00,28086.0,27902.0,1,-186.0,-9300.0,63,stop_loss,EXTREME_LONG,EXTREME
20200129,101500,162900,2020-01-29 10:15:00,2020-01-29 16:29:00,27220.0,27131.0,1,-91.0,-4550.0,314,session_end,EXTREME_LONG,EXTREME
20200203,101500,162900,2020-02-03 10:15:00,2020-02-03 16:29:00,26282.0,26227.0,1,-57.0,-2850.0,314,session_end,EXTREME_LONG,EXTREME
20200204,101500,162900,2020-02-04 10:15:00,2020-02-04 16:29:00,26573.0,26745.0,1,170.0,8500.0,314,session_end,EXTREME_LONG,EXTREME
20200205,104200,133100,2020-02-05 10:42:00,2020-02-05 13:31:00,26803.0,26618.0,1,-187.0,-9350.0,109,stop_loss,EXTREME_LONG,EXTREME
20200206,101500,162900,2020-02-06 10:15:00,2020-02-06 16:29:00,27057.0,27372.0,1,313.0,15650.0,314,session_end,EXTREME_LONG,EXTREME
20200207,101500,162900,2020-02-07 10:15:00,2020-02-07 16:29:00,27260.0,27295.0,1,33.0,1650.0,314,session_end,EXTREME_LONG,EXTREME
20200210,101500,162900,2020-02-10 10:15:00,2020-02-10 16:29:00,27175.0,27096.0,1,-81.0,-4050.0,314,session_end,EXTREME_LONG,EXTREME
20200211,101500,162900,2020-02-11 10:15:00,2020-02-11 16:29:00,27558.0,27547.0,1,-13.0,-650.0,314,session_end,EXTREME_LONG,EXTREME
20200225,101500,111300,2020-02-25 10:15:00,2020-02-25 11:13:00,26771.0,26571.0,1,-202.0,-10100.0,58,stop_loss,EXTREME_LONG,EXTREME
20200226,101500,162900,2020-02-26 10:15:00,2020-02-26 16:29:00,26554.0,26608.0,1,52.0,2600.0,314,session_end,EXTREME_LONG,EXTREME
20200227,101600,162900,2020-02-27 10:16:00,2020-02-27 16:29:00,26462.0,26679.0,1,215.0,10750.0,313,session_end,EXTREME_LONG,EXTREME
20200228,101500,103400,2020-02-28 10:15:00,2020-02-28 10:34:00,26272.0,26076.0,1,-198.0,-9900.0,19,stop_loss,EXTREME_LONG,EXTREME
20200302,101500,162900,2020-03-02 10:15:00,2020-03-02 16:29:00,26193.0,26278.0,1,83.0,4150.0,314,session_end,EXTREME_LONG,EXTREME
20200305,102600,162900,2020-03-05 10:26:00,2020-03-05 16:29:00,26342.0,26685.0,1,341.0,17050.0,303,session_end,EXTREME_LONG,EXTREME
20200309,110300,152100,2020-03-09 11:03:00,2020-03-09 15:21:00,25148.0,24958.0,1,-192.0,-9600.0,198,stop_loss,EXTREME_LONG,EXTREME
20200310,111400,162900,2020-03-10 11:14:00,2020-03-10 16:29:00,25177.0,25410.0,1,231.0,11550.0,255,session_end,EXTREME_LONG,EXTREME
20200313,101600,162900,2020-03-13 10:16:00,2020-03-13 16:29:00,22869.0,23866.0,1,995.0,49750.0,313,session_end,EXTREME_LONG,EXTREME
20200316,101500,130100,2020-03-16 10:15:00,2020-03-16 13:01:00,23445.0,23248.0,1,-199.0,-9950.0,106,stop_loss,EXTREME_LONG,EXTREME
20200317,104100,162900,2020-03-17 10:41:00,2020-03-17 16:29:00,22977.0,22996.0,1,17.0,850.0,288,session_end,EXTREME_LONG,EXTREME
20200318,101700,132000,2020-03-18 10:17:00,2020-03-18 13:20:00,23113.0,22918.0,1,-197.0,-9850.0,123,stop_loss,EXTREME_LONG,EXTREME
20200320,101600,105000,2020-03-20 10:16:00,2020-03-20 10:50:00,22550.0,22338.0,1,-214.0,-10700.0,34,stop_loss,EXTREME_LONG,EXTREME
20200323,101600,155000,2020-03-23 10:16:00,2020-03-23 15:50:00,21776.0,21588.0,1,-190.0,-9500.0,274,stop_loss,EXTREME_LONG,EXTREME
20200324,101700,114300,2020-03-24 10:17:00,2020-03-24 11:43:00,22551.0,22362.0,1,-191.0,-9550.0,86,stop_loss,EXTREME_LONG,EXTREME
20200325,130700,131800,2020-03-25 13:07:00,2020-03-25 13:18:00,23278.0,23080.0,1,-200.0,-10000.0,11,stop_loss,EXTREME_LONG,EXTREME
20200326,115100,135600,2020-03-26 11:51:00,2020-03-26 13:56:00,23461.0,23273.0,1,-190.0,-9500.0,65,stop_loss,EXTREME_LONG,EXTREME
20200330,101600,162900,2020-03-30 10:16:00,2020-03-30 16:29:00,23047.0,23007.0,1,-42.0,-2100.0,313,session_end,EXTREME_LONG,EXTREME
20200331,103400,111100,2020-03-31 10:34:00,2020-03-31 11:11:00,23551.0,23363.0,1,-190.0,-9500.0,37,stop_loss,EXTREME_LONG,EXTREME
20200401,101600,130100,2020-04-01 10:16:00,2020-04-01 13:01:00,23527.0,23348.0,1,-181.0,-9050.0,105,stop_loss,EXTREME_LONG,EXTREME
20200402,101600,162900,2020-04-02 10:16:00,2020-04-02 16:29:00,22966.0,23246.0,1,278.0,13900.0,313,session_end,EXTREME_LONG,EXTREME
20200403,101600,162900,2020-04-03 10:16:00,2020-04-03 16:29:00,23131.0,23190.0,1,57.0,2850.0,313,session_end,EXTREME_LONG,EXTREME
20200406,135600,162900,2020-04-06 13:56:00,2020-04-06 16:29:00,23787.0,23729.0,1,-60.0,-3000.0,153,session_end,EXTREME_LONG,EXTREME
20200408,101600,140900,2020-04-08 10:16:00,2020-04-08 14:09:00,24125.0,23937.0,1,-190.0,-9500.0,173,stop_loss,EXTREME_LONG,EXTREME
20200409,101600,104400,2020-04-09 10:16:00,2020-04-09 10:44:00,24216.0,24025.0,1,-193.0,-9650.0,28,stop_loss,EXTREME_LONG,EXTREME
20200414,101600,162900,2020-04-14 10:16:00,2020-04-14 16:29:00,24413.0,24388.0,1,-27.0,-1350.0,313,session_end,EXTREME_LONG,EXTREME
20200416,102500,162900,2020-04-16 10:25:00,2020-04-16 16:29:00,24077.0,23966.0,1,-113.0,-5650.0,304,session_end,EXTREME_LONG,EXTREME
20200417,101700,142900,2020-04-17 10:17:00,2020-04-17 14:29:00,24552.0,24298.0,1,-256.0,-12800.0,192,stop_loss,EXTREME_LONG,EXTREME
20200420,101600,162900,2020-04-20 10:16:00,2020-04-20 16:29:00,24417.0,24275.0,1,-144.0,-7200.0,313,session_end,EXTREME_LONG,EXTREME
20200422,101600,162900,2020-04-22 10:16:00,2020-04-22 16:29:00,23599.0,23882.0,1,281.0,14050.0,313,session_end,EXTREME_LONG,EXTREME
20200424,101600,162900,2020-04-24 10:16:00,2020-04-24 16:29:00,23861.0,23819.0,1,-44.0,-2200.0,313,session_end,EXTREME_LONG,EXTREME
20200506,101600,162900,2020-05-06 10:16:00,2020-05-06 16:29:00,23859.0,24063.0,1,202.0,10100.0,313,session_end,EXTREME_LONG,EXTREME
20200511,101600,140300,2020-05-11 10:16:00,2020-05-11 14:03:00,24664.0,24482.0,1,-184.0,-9200.0,167,stop_loss,EXTREME_LONG,EXTREME
20200513,101600,162900,2020-05-13 10:16:00,2020-05-13 16:29:00,24120.0,24059.0,1,-63.0,-3150.0,313,session_end,EXTREME_LONG,EXTREME
20200518,101600,162900,2020-05-18 10:16:00,2020-05-18 16:29:00,23852.0,23924.0,1,70.0,3500.0,313,session_end,EXTREME_LONG,EXTREME
20200526,101600,162900,2020-05-26 10:16:00,2020-05-26 16:29:00,23362.0,23360.0,1,-4.0,-200.0,313,session_end,EXTREME_LONG,EXTREME
20200528,101700,112400,2020-05-28 10:17:00,2020-05-28 11:24:00,23076.0,22877.0,1,-201.0,-10050.0,67,stop_loss,EXTREME_LONG,EXTREME
20200529,101600,162900,2020-05-29 10:16:00,2020-05-29 16:29:00,22802.0,22774.0,1,-30.0,-1500.0,313,session_end,EXTREME_LONG,EXTREME
20200601,101600,161900,2020-06-01 10:16:00,2020-06-01 16:19:00,23513.0,23316.0,1,-199.0,-9950.0,303,stop_loss,EXTREME_LONG,EXTREME
20200602,101600,162900,2020-06-02 10:16:00,2020-06-02 16:29:00,23708.0,23947.0,1,237.0,11850.0,313,session_end,EXTREME_LONG,EXTREME
