date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20200102,101700,162900,2020-01-02 10:17:00,2020-01-02 16:29:00,28564.0,28594.0,1,28.0,1400.0,312,session_end,LONG_FILTERED,TREND
20200107,102200,143000,2020-01-07 10:22:00,2020-01-07 14:30:00,28525.0,28362.0,1,-165.0,-8250.0,188,stop_loss,LONG_FILTERED,TREND
20200108,135500,162900,2020-01-08 13:55:00,2020-01-08 16:29:00,28026.0,28053.0,1,25.0,1250.0,154,session_end,LONG_FILTERED,TREND
20200109,131800,162900,2020-01-09 13:18:00,2020-01-09 16:29:00,28492.0,28619.0,1,125.0,6250.0,191,session_end,LONG_FILTERED,TREND
20200110,141900,162900,2020-01-10 14:19:00,2020-01-10 16:29:00,28700.0,28639.0,1,-63.0,-3150.0,130,session_end,LONG_FILTERED,TREND
20200113,105600,162900,2020-01-13 10:56:00,2020-01-13 16:29:00,28951.0,28958.0,1,5.0,250.0,273,session_end,LONG_FILTERED,TREND
20200116,103300,111000,2020-01-16 10:33:00,2020-01-16 11:10:00,28986.0,28814.0,1,-174.0,-8700.0,37,stop_loss,LONG_FILTERED,TREND
20200117,160200,162900,2020-01-17 16:02:00,2020-01-17 16:29:00,29062.0,29063.0,1,-1.0,-50.0,27,session_end,LONG_FILTERED,TREND
20200122,105000,162900,2020-01-22 10:50:00,2020-01-22 16:29:00,28212.0,28330.0,1,116.0,5800.0,279,session_end,LONG_FILTERED,TREND
20200129,130300,143500,2020-01-29 13:03:00,2020-01-29 14:35:00,27326.0,27162.0,1,-166.0,-8300.0,92,stop_loss,LONG_FILTERED,TREND
20200204,130000,162900,2020-02-04 13:00:00,2020-02-04 16:29:00,26571.0,26745.0,1,172.0,8600.0,209,session_end,LONG_FILTERED,TREND
20200206,104800,162900,2020-02-06 10:48:00,2020-02-06 16:29:00,27219.0,27372.0,1,151.0,7550.0,281,session_end,LONG_FILTERED,TREND
20200207,150000,162900,2020-02-07 15:00:00,2020-02-07 16:29:00,27296.0,27295.0,1,-3.0,-150.0,89,session_end,LONG_FILTERED,TREND
20200210,101500,162900,2020-02-10 10:15:00,2020-02-10 16:29:00,27175.0,27096.0,1,-81.0,-4050.0,314,session_end,LONG_FILTERED,TREND
20200211,101500,162900,2020-02-11 10:15:00,2020-02-11 16:29:00,27558.0,27547.0,1,-13.0,-650.0,314,session_end,LONG_FILTERED,TREND
20200212,131400,162900,2020-02-12 13:14:00,2020-02-12 16:29:00,27786.0,27775.0,1,-13.0,-650.0,195,session_end,LONG_FILTERED,TREND
20200214,102600,162900,2020-02-14 10:26:00,2020-02-14 16:29:00,27820.0,27743.0,1,-79.0,-3950.0,303,session_end,LONG_FILTERED,TREND
