date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20200106,141100,154100,2020-01-06 14:11:00,2020-01-06 15:41:00,28197.0,28284.0,-1,-89.0,-4450.0,90,stop_loss,ORB_FILTERED,TREND
20200113,111700,162900,2020-01-13 11:17:00,2020-01-13 16:29:00,28971.0,28958.0,1,-15.0,-750.0,252,session_end,ORB_FILTERED,TREND
20200120,162500,162900,2020-01-20 16:25:00,2020-01-20 16:29:00,28702.0,28707.0,-1,-7.0,-350.0,4,session_end,ORB_FILTERED,TREND
20200131,140600,150600,2020-01-31 14:06:00,2020-01-31 15:06:00,26276.0,26374.0,-1,-100.0,-5000.0,60,stop_loss,ORB_FILTERED,TREND
20200227,152800,162900,2020-02-27 15:28:00,2020-02-27 16:29:00,26733.0,26679.0,1,-56.0,-2800.0,61,session_end,ORB_FILTERED,TREND
20200305,133600,162900,2020-03-05 13:36:00,2020-03-05 16:29:00,26726.0,26685.0,1,-43.0,-2150.0,173,session_end,ORB_FILTERED,TREND
20200309,153500,155500,2020-03-09 15:35:00,2020-03-09 15:55:00,24865.0,24962.0,-1,-99.0,-4950.0,20,stop_loss,ORB_FILTERED,TREND
20200406,140900,141900,2020-04-06 14:09:00,2020-04-06 14:19:00,23853.0,23755.0,1,-100.0,-5000.0,10,stop_loss,ORB_FILTERED,TREND
20200415,105100,111400,2020-04-15 10:51:00,2020-04-15 11:14:00,24320.0,24405.0,-1,-87.0,-4350.0,23,stop_loss,ORB_FILTERED,TREND
20200522,115000,130100,2020-05-22 11:50:00,2020-05-22 13:01:00,23085.0,23026.0,-1,57.0,2850.0,11,regime_extreme,ORB_FILTERED,TREND
20200605,152300,162900,2020-06-05 15:23:00,2020-06-05 16:29:00,24714.0,24688.0,1,-28.0,-1400.0,66,session_end,ORB_FILTERED,TREND
