date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20200102,103100,131500,2020-01-02 10:31:00,2020-01-02 13:15:00,28588.0,28505.0,1,-85.0,-4250.0,104,stop_loss,ORB_FILTERED,TREND
20200102,142000,162900,2020-01-02 14:20:00,2020-01-02 16:29:00,28581.0,28594.0,1,11.0,550.0,129,session_end,ORB_FILTERED,TREND
20200103,103200,131100,2020-01-03 10:32:00,2020-01-03 13:11:00,28600.0,28473.0,-1,125.0,6250.0,99,take_profit,ORB_FILTERED,TREND
20200106,140700,141600,2020-01-06 14:07:00,2020-01-06 14:16:00,28242.0,28111.0,-1,129.0,6450.0,9,take_profit,ORB_FILTERED,TREND
20200106,141700,145700,2020-01-06 14:17:00,2020-01-06 14:57:00,28115.0,28196.0,-1,-83.0,-4150.0,40,stop_loss,ORB_FILTERED,TREND
20200109,155600,162900,2020-01-09 15:56:00,2020-01-09 16:29:00,28621.0,28619.0,1,-4.0,-200.0,33,session_end,ORB_FILTERED,TREND
20200113,110200,113500,2020-01-13 11:02:00,2020-01-13 11:35:00,28997.0,28914.0,1,-85.0,-4250.0,33,stop_loss,ORB_FILTERED,TREND
20200114,113400,132000,2020-01-14 11:34:00,2020-01-14 13:20:00,28917.0,28998.0,-1,-83.0,-4150.0,46,stop_loss,ORB_FILTERED,TREND
20200115,142000,162900,2020-01-15 14:20:00,2020-01-15 16:29:00,28826.0,28767.0,-1,57.0,2850.0,129,session_end,ORB_FILTERED,TREND
20200117,160900,162900,2020-01-17 16:09:00,2020-01-17 16:29:00,29072.0,29063.0,1,-11.0,-550.0,20,session_end,ORB_FILTERED,TREND
20200120,160100,162900,2020-01-20 16:01:00,2020-01-20 16:29:00,28787.0,28707.0,-1,78.0,3900.0,28,session_end,ORB_FILTERED,TREND
20200122,105800,110600,2020-01-22 10:58:00,2020-01-22 11:06:00,28244.0,28151.0,1,-95.0,-4750.0,8,stop_loss,ORB_FILTERED,TREND
20200123,130400,154700,2020-01-23 13:04:00,2020-01-23 15:47:00,27781.0,27864.0,-1,-85.0,-4250.0,163,stop_loss,ORB_FILTERED,TREND
20200130,105100,110900,2020-01-30 10:51:00,2020-01-30 11:09:00,26647.0,26728.0,-1,-83.0,-4150.0,18,stop_loss,ORB_FILTERED,TREND
20200130,131500,150400,2020-01-30 13:15:00,2020-01-30 15:04:00,26544.0,26417.0,-1,125.0,6250.0,109,take_profit,ORB_FILTERED,TREND
20200130,151900,160000,2020-01-30 15:19:00,2020-01-30 16:00:00,26307.0,26390.0,-1,-85.0,-4250.0,41,stop_loss,ORB_FILTERED,TREND
20200131,140100,162900,2020-01-31 14:01:00,2020-01-31 16:29:00,26324.0,26252.0,-1,70.0,3500.0,148,session_end,ORB_FILTERED,TREND
20200206,130200,130700,2020-02-06 13:02:00,2020-02-06 13:07:00,27392.0,27471.0,1,77.0,3850.0,5,regime_extreme,ORB_FILTERED,TREND
20200206,150600,162900,2020-02-06 15:06:00,2020-02-06 16:29:00,27357.0,27372.0,1,13.0,650.0,83,session_end,ORB_FILTERED,TREND
20200218,112100,162900,2020-02-18 11:21:00,2020-02-18 16:29:00,27475.0,27432.0,-1,41.0,2050.0,248,session_end,ORB_FILTERED,TREND
20200219,101900,105000,2020-02-19 10:19:00,2020-02-19 10:50:00,27642.0,27558.0,1,-86.0,-4300.0,31,stop_loss,ORB_FILTERED,TREND
20200220,104100,134800,2020-02-20 10:41:00,2020-02-20 13:48:00,27338.0,27440.0,-1,-104.0,-5200.0,127,stop_loss,ORB_FILTERED,TREND
20200227,150100,153400,2020-02-27 15:01:00,2020-02-27 15:34:00,26632.0,26756.0,1,122.0,6100.0,33,take_profit,ORB_FILTERED,TREND
20200227,153500,161000,2020-02-27 15:35:00,2020-02-27 16:10:00,26777.0,26665.0,1,-114.0,-5700.0,35,stop_loss,ORB_FILTERED,TREND
20200305,132900,162900,2020-03-05 13:29:00,2020-03-05 16:29:00,26658.0,26685.0,1,25.0,1250.0,180,session_end,ORB_FILTERED,TREND
20200309,152700,160900,2020-03-09 15:27:00,2020-03-09 16:09:00,24903.0,25005.0,-1,-104.0,-5200.0,42,stop_loss,ORB_FILTERED,TREND
20200401,134300,134600,2020-04-01 13:43:00,2020-04-01 13:46:00,23132.0,23138.0,-1,-8.0,-400.0,3,regime_extreme,ORB_FILTERED,TREND
20200406,134400,135600,2020-04-06 13:44:00,2020-04-06 13:56:00,23770.0,23783.0,1,11.0,550.0,12,regime_extreme,ORB_FILTERED,TREND
20200406,140600,143900,2020-04-06 14:06:00,2020-04-06 14:39:00,23835.0,23751.0,1,-86.0,-4300.0,33,stop_loss,ORB_FILTERED,TREND
20200407,162800,162900,2020-04-07 16:28:00,2020-04-07 16:29:00,24418.0,24421.0,1,1.0,50.0,1,session_end,ORB_FILTERED,TREND
20200415,104900,111400,2020-04-15 10:49:00,2020-04-15 11:14:00,24320.0,24405.0,-1,-87.0,-4350.0,25,stop_loss,ORB_FILTERED,TREND
20200415,140900,153100,2020-04-15 14:09:00,2020-04-15 15:31:00,24270.0,24152.0,-1,116.0,5800.0,82,take_profit,ORB_FILTERED,TREND
20200415,155500,162900,2020-04-15 15:55:00,2020-04-15 16:29:00,24059.0,24051.0,-1,6.0,300.0,34,session_end,ORB_FILTERED,TREND
20200416,150600,151600,2020-04-16 15:06:00,2020-04-16 15:16:00,24107.0,24025.0,1,-84.0,-4200.0,10,stop_loss,ORB_FILTERED,TREND
20200422,133100,144500,2020-04-22 13:31:00,2020-04-22 14:45:00,23759.0,23878.0,1,117.0,5850.0,74,take_profit,ORB_FILTERED,TREND
20200423,104500,105200,2020-04-23 10:45:00,2020-04-23 10:52:00,23768.0,23852.0,-1,-86.0,-4300.0,7,stop_loss,ORB_FILTERED,TREND
20200428,110100,141900,2020-04-28 11:01:00,2020-04-28 14:19:00,24326.0,24449.0,1,121.0,6050.0,138,take_profit,ORB_FILTERED,TREND
20200428,162900,162900,2020-04-28 16:29:00,2020-04-28 16:29:00,24571.0,24575.0,1,2.0,100.0,0,session_end,ORB_FILTERED,TREND
20200512,143400,151200,2020-05-12 14:34:00,2020-05-12 15:12:00,24022.0,24120.0,-1,-100.0,-5000.0,38,stop_loss,ORB_FILTERED,TREND
20200513,130200,135300,2020-05-13 13:02:00,2020-05-13 13:53:00,24217.0,24123.0,1,-96.0,-4800.0,51,stop_loss,ORB_FILTERED,TREND
20200513,155700,162900,2020-05-13 15:57:00,2020-05-13 16:29:00,24084.0,24059.0,1,-27.0,-1350.0,32,session_end,ORB_FILTERED,TREND
20200515,130300,134400,2020-05-15 13:03:00,2020-05-15 13:44:00,23861.0,23772.0,1,-91.0,-4550.0,41,stop_loss,ORB_FILTERED,TREND
20200518,160100,162900,2020-05-18 16:01:00,2020-05-18 16:29:00,23902.0,23924.0,1,20.0,1000.0,28,session_end,ORB_FILTERED,TREND
20200522,114800,130100,2020-05-22 11:48:00,2020-05-22 13:01:00,23106.0,23026.0,-1,78.0,3900.0,13,regime_extreme,ORB_FILTERED,TREND
20200522,151600,153300,2020-05-22 15:16:00,2020-05-22 15:33:00,22783.0,22871.0,-1,-90.0,-4500.0,17,stop_loss,ORB_FILTERED,TREND
20200525,145300,162900,2020-05-25 14:53:00,2020-05-25 16:29:00,22874.0,22894.0,1,18.0,900.0,96,session_end,ORB_FILTERED,TREND
20200526,143300,153200,2020-05-26 14:33:00,2020-05-26 15:32:00,23479.0,23392.0,1,-89.0,-4450.0,59,stop_loss,ORB_FILTERED,TREND
20200527,133800,162900,2020-05-27 13:38:00,2020-05-27 16:29:00,23167.0,23196.0,-1,-31.0,-1550.0,171,session_end,ORB_FILTERED,TREND
20200528,113600,115100,2020-05-28 11:36:00,2020-05-28 11:51:00,22747.0,22724.0,-1,21.0,1050.0,15,regime_extreme,ORB_FILTERED,TREND
20200604,160900,162900,2020-06-04 16:09:00,2020-06-04 16:29:00,24292.0,24294.0,-1,-4.0,-200.0,20,session_end,ORB_FILTERED,TREND
20200605,135300,150800,2020-06-05 13:53:00,2020-06-05 15:08:00,24423.0,24546.0,1,121.0,6050.0,75,take_profit,ORB_FILTERED,TREND
20200605,151200,160100,2020-06-05 15:12:00,2020-06-05 16:01:00,24645.0,24772.0,1,125.0,6250.0,49,take_profit,ORB_FILTERED,TREND
20200605,160200,161000,2020-06-05 16:02:00,2020-06-05 16:10:00,24775.0,24690.0,1,-87.0,-4350.0,8,stop_loss,ORB_FILTERED,TREND
20200608,131400,162900,2020-06-08 13:14:00,2020-06-08 16:29:00,24668.0,24731.0,-1,-65.0,-3250.0,195,session_end,ORB_FILTERED,TREND
20200609,101700,102500,2020-06-09 10:17:00,2020-06-09 10:25:00,25068.0,24986.0,1,-84.0,-4200.0,8,stop_loss,ORB_FILTERED,TREND
