date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20200102,100200,162900,2020-01-02 10:02:00,2020-01-02 16:29:00,28509.0,28594.0,1,83.0,4150.0,327,session_end,ORB,TREND
20200103,94700,102800,2020-01-03 09:47:00,2020-01-03 10:28:00,28802.0,28624.0,-1,176.0,8800.0,41,take_profit,ORB,TREND
20200106,95500,101200,2020-01-06 09:55:00,2020-01-06 10:12:00,28239.0,28368.0,-1,-131.0,-6550.0,17,stop_loss,ORB,TREND
20200107,102000,104700,2020-01-07 10:20:00,2020-01-07 10:47:00,28526.0,28387.0,1,-141.0,-7050.0,27,stop_loss,ORB,TREND
20200108,100700,162900,2020-01-08 10:07:00,2020-01-08 16:29:00,28060.0,28053.0,1,-9.0,-450.0,322,session_end,ORB,TREND
20200109,100000,162900,2020-01-09 10:00:00,2020-01-09 16:29:00,28494.0,28619.0,1,123.0,6150.0,329,session_end,ORB,TREND
20200110,94700,141800,2020-01-10 09:47:00,2020-01-10 14:18:00,28565.0,28689.0,-1,-126.0,-6300.0,211,stop_loss,ORB,TREND
20200113,105600,162900,2020-01-13 10:56:00,2020-01-13 16:29:00,28951.0,28958.0,1,5.0,250.0,273,session_end,ORB,TREND
20200114,95400,140400,2020-01-14 09:54:00,2020-01-14 14:04:00,29079.0,28899.0,-1,178.0,8900.0,190,take_profit,ORB,TREND
20200115,100500,162900,2020-01-15 10:05:00,2020-01-15 16:29:00,28835.0,28767.0,-1,66.0,3300.0,324,session_end,ORB,TREND
20200116,95300,111600,2020-01-16 09:53:00,2020-01-16 11:16:00,28919.0,28797.0,1,-124.0,-6200.0,83,stop_loss,ORB,TREND
20200117,101000,103600,2020-01-17 10:10:00,2020-01-17 10:36:00,29095.0,28968.0,1,-129.0,-6450.0,26,stop_loss,ORB,TREND
20200120,104100,154700,2020-01-20 10:41:00,2020-01-20 15:47:00,29003.0,28820.0,-1,181.0,9050.0,246,take_profit,ORB,TREND
20200121,103500,135000,2020-01-21 10:35:00,2020-01-21 13:50:00,28243.0,28065.0,-1,176.0,8800.0,135,take_profit,ORB,TREND
20200122,95800,100900,2020-01-22 09:58:00,2020-01-22 10:09:00,27958.0,28083.0,-1,-127.0,-6350.0,11,stop_loss,ORB,TREND
20200123,113600,162900,2020-01-23 11:36:00,2020-01-23 16:29:00,27877.0,27812.0,-1,63.0,3150.0,233,session_end,ORB,TREND
20200129,94700,95900,2020-01-29 09:47:00,2020-01-29 09:59:00,27317.0,27186.0,1,-133.0,-6650.0,12,stop_loss,ORB,TREND
20200130,100600,104800,2020-01-30 10:06:00,2020-01-30 10:48:00,26855.0,26672.0,-1,181.0,9050.0,42,take_profit,ORB,TREND
20200131,94800,102300,2020-01-31 09:48:00,2020-01-31 10:23:00,26484.0,26608.0,-1,-126.0,-6300.0,35,stop_loss,ORB,TREND
20200203,95700,100700,2020-02-03 09:57:00,2020-02-03 10:07:00,26442.0,26318.0,1,-126.0,-6300.0,10,stop_loss,ORB,TREND
20200204,95100,102200,2020-02-04 09:51:00,2020-02-04 10:22:00,26623.0,26465.0,1,-160.0,-8000.0,31,stop_loss,ORB,TREND
20200205,133900,150400,2020-02-05 13:39:00,2020-02-05 15:04:00,26543.0,26667.0,-1,-126.0,-6300.0,85,stop_loss,ORB,TREND
20200206,104800,130300,2020-02-06 10:48:00,2020-02-06 13:03:00,27219.0,27426.0,1,205.0,10250.0,75,take_profit,ORB,TREND
20200210,101400,162900,2020-02-10 10:14:00,2020-02-10 16:29:00,27157.0,27096.0,1,-63.0,-3150.0,315,session_end,ORB,TREND
20200211,100000,162900,2020-02-11 10:00:00,2020-02-11 16:29:00,27525.0,27547.0,1,20.0,1000.0,329,session_end,ORB,TREND
20200212,101800,162900,2020-02-12 10:18:00,2020-02-12 16:29:00,27688.0,27775.0,1,85.0,4250.0,311,session_end,ORB,TREND
20200213,100000,162900,2020-02-13 10:00:00,2020-02-13 16:29:00,27691.0,27667.0,-1,22.0,1100.0,329,session_end,ORB,TREND
20200214,95300,162900,2020-02-14 09:53:00,2020-02-14 16:29:00,27802.0,27743.0,1,-61.0,-3050.0,336,session_end,ORB,TREND
20200217,94900,162900,2020-02-17 09:49:00,2020-02-17 16:29:00,27913.0,27837.0,1,-78.0,-3900.0,340,session_end,ORB,TREND
20200218,104600,162900,2020-02-18 10:46:00,2020-02-18 16:29:00,27532.0,27432.0,-1,98.0,4900.0,283,session_end,ORB,TREND
20200219,94600,162900,2020-02-19 09:46:00,2020-02-19 16:29:00,27560.0,27567.0,1,5.0,250.0,343,session_end,ORB,TREND
20200220,95800,104300,2020-02-20 09:58:00,2020-02-20 10:43:00,27489.0,27304.0,-1,183.0,9150.0,45,take_profit,ORB,TREND
20200221,100000,130400,2020-02-21 10:00:00,2020-02-21 13:04:00,27230.0,27357.0,-1,-129.0,-6450.0,124,stop_loss,ORB,TREND
20200224,102300,162900,2020-02-24 10:23:00,2020-02-24 16:29:00,26805.0,26679.0,-1,124.0,6200.0,306,session_end,ORB,TREND
20200225,102100,105300,2020-02-25 10:21:00,2020-02-25 10:53:00,26810.0,26679.0,1,-133.0,-6650.0,32,stop_loss,ORB,TREND
20200226,101400,162900,2020-02-26 10:14:00,2020-02-26 16:29:00,26549.0,26608.0,1,57.0,2850.0,315,session_end,ORB,TREND
20200227,145500,152800,2020-02-27 14:55:00,2020-02-27 15:28:00,26537.0,26729.0,1,190.0,9500.0,33,take_profit,ORB,TREND
20200228,94900,102700,2020-02-28 09:49:00,2020-02-28 10:27:00,26279.0,26138.0,1,-143.0,-7150.0,38,stop_loss,ORB,TREND
20200303,95000,115200,2020-03-03 09:50:00,2020-03-03 11:52:00,26351.0,26476.0,-1,-127.0,-6350.0,122,stop_loss,ORB,TREND
20200304,95000,111500,2020-03-04 09:50:00,2020-03-04 11:15:00,26127.0,26251.0,-1,-126.0,-6300.0,85,stop_loss,ORB,TREND
20200305,112300,133000,2020-03-05 11:23:00,2020-03-05 13:30:00,26481.0,26682.0,1,199.0,9950.0,67,take_profit,ORB,TREND
20200306,94900,133100,2020-03-06 09:49:00,2020-03-06 13:31:00,26259.0,26080.0,-1,177.0,8850.0,162,take_profit,ORB,TREND
20200309,111300,113400,2020-03-09 11:13:00,2020-03-09 11:34:00,25257.0,25133.0,1,-126.0,-6300.0,21,stop_loss,ORB,TREND
20200310,100500,112000,2020-03-10 10:05:00,2020-03-10 11:20:00,25110.0,25247.0,-1,-139.0,-6950.0,75,stop_loss,ORB,TREND
20200311,130200,162900,2020-03-11 13:02:00,2020-03-11 16:29:00,25182.0,25141.0,-1,39.0,1950.0,207,session_end,ORB,TREND
20200312,95000,100400,2020-03-12 09:50:00,2020-03-12 10:04:00,24315.0,24115.0,-1,198.0,9900.0,14,take_profit,ORB,TREND
20200313,95300,102000,2020-03-13 09:53:00,2020-03-13 10:20:00,22769.0,22986.0,1,215.0,10750.0,27,take_profit,ORB,TREND
20200316,100000,101000,2020-03-16 10:00:00,2020-03-16 10:10:00,23513.0,23390.0,1,-125.0,-6250.0,10,stop_loss,ORB,TREND
20200317,101200,102400,2020-03-17 10:12:00,2020-03-17 10:24:00,22696.0,22827.0,-1,-133.0,-6650.0,12,stop_loss,ORB,TREND
20200318,94700,100500,2020-03-18 09:47:00,2020-03-18 10:05:00,23257.0,23134.0,1,-125.0,-6250.0,18,stop_loss,ORB,TREND
20200319,95700,102400,2020-03-19 09:57:00,2020-03-19 10:24:00,21756.0,21503.0,-1,251.0,12550.0,27,take_profit,ORB,TREND
20200320,101100,105000,2020-03-20 10:11:00,2020-03-20 10:50:00,22469.0,22338.0,1,-133.0,-6650.0,39,stop_loss,ORB,TREND
20200323,110500,111400,2020-03-23 11:05:00,2020-03-23 11:14:00,21995.0,21858.0,1,-139.0,-6950.0,9,stop_loss,ORB,TREND
20200324,100000,100700,2020-03-24 10:00:00,2020-03-24 10:07:00,22673.0,22529.0,1,-146.0,-7300.0,7,stop_loss,ORB,TREND
20200325,103400,104500,2020-03-25 10:34:00,2020-03-25 10:45:00,23044.0,23176.0,-1,-134.0,-6700.0,11,stop_loss,ORB,TREND
20200326,101300,102300,2020-03-26 10:13:00,2020-03-26 10:23:00,23127.0,23258.0,-1,-133.0,-6650.0,10,stop_loss,ORB,TREND
20200327,95100,131700,2020-03-27 09:51:00,2020-03-27 13:17:00,23606.0,23422.0,-1,182.0,9100.0,146,take_profit,ORB,TREND
20200330,102600,131000,2020-03-30 10:26:00,2020-03-30 13:10:00,23155.0,23340.0,1,183.0,9150.0,104,take_profit,ORB,TREND
20200331,110600,155200,2020-03-31 11:06:00,2020-03-31 15:52:00,23394.0,23523.0,-1,-131.0,-6550.0,226,stop_loss,ORB,TREND
20200401,95100,130000,2020-04-01 09:51:00,2020-04-01 13:00:00,23475.0,23332.0,1,-145.0,-7250.0,129,stop_loss,ORB,TREND
20200402,94800,112000,2020-04-02 09:48:00,2020-04-02 11:20:00,22884.0,23064.0,1,178.0,8900.0,92,take_profit,ORB,TREND
20200403,100200,102000,2020-04-03 10:02:00,2020-04-03 10:20:00,23207.0,23075.0,1,-134.0,-6700.0,18,stop_loss,ORB,TREND
20200406,95100,100300,2020-04-06 09:51:00,2020-04-06 10:03:00,23297.0,23436.0,-1,-141.0,-7050.0,12,stop_loss,ORB,TREND
20200407,101000,134900,2020-04-07 10:10:00,2020-04-07 13:49:00,23870.0,24004.0,-1,-136.0,-6800.0,159,stop_loss,ORB,TREND
20200408,94800,101500,2020-04-08 09:48:00,2020-04-08 10:15:00,23995.0,24121.0,-1,-128.0,-6400.0,27,stop_loss,ORB,TREND
20200409,101500,103400,2020-04-09 10:15:00,2020-04-09 10:34:00,24242.0,24117.0,1,-127.0,-6350.0,19,stop_loss,ORB,TREND
20200414,95500,161100,2020-04-14 09:55:00,2020-04-14 16:11:00,24480.0,24352.0,1,-130.0,-6500.0,316,stop_loss,ORB,TREND
20200415,95100,101100,2020-04-15 09:51:00,2020-04-15 10:11:00,24604.0,24482.0,1,-124.0,-6200.0,20,stop_loss,ORB,TREND
20200416,95600,102000,2020-04-16 09:56:00,2020-04-16 10:20:00,23853.0,23985.0,-1,-134.0,-6700.0,24,stop_loss,ORB,TREND
20200417,95200,142800,2020-04-17 09:52:00,2020-04-17 14:28:00,24590.0,24389.0,1,-203.0,-10150.0,216,stop_loss,ORB,TREND
20200420,111700,130200,2020-04-20 11:17:00,2020-04-20 13:02:00,24454.0,24327.0,1,-129.0,-6450.0,45,stop_loss,ORB,TREND
20200421,94600,102700,2020-04-21 09:46:00,2020-04-21 10:27:00,23964.0,23761.0,-1,201.0,10050.0,41,take_profit,ORB,TREND
20200422,101800,141700,2020-04-22 10:18:00,2020-04-22 14:17:00,23654.0,23832.0,1,176.0,8800.0,179,take_profit,ORB,TREND
20200423,102700,130100,2020-04-23 10:27:00,2020-04-23 13:01:00,23827.0,23960.0,-1,-135.0,-6750.0,94,stop_loss,ORB,TREND
20200424,104200,130900,2020-04-24 10:42:00,2020-04-24 13:09:00,23904.0,23765.0,1,-141.0,-7050.0,87,stop_loss,ORB,TREND
20200427,94700,162900,2020-04-27 09:47:00,2020-04-27 16:29:00,24209.0,24293.0,1,82.0,4100.0,342,session_end,ORB,TREND
20200428,94600,105700,2020-04-28 09:46:00,2020-04-28 10:57:00,24155.0,24285.0,-1,-132.0,-6600.0,71,stop_loss,ORB,TREND
20200429,100100,162900,2020-04-29 10:01:00,2020-04-29 16:29:00,24558.0,24499.0,-1,57.0,2850.0,328,session_end,ORB,TREND
20200504,113600,161900,2020-05-04 11:36:00,2020-05-04 16:19:00,23525.0,23342.0,-1,181.0,9050.0,223,take_profit,ORB,TREND
20200505,95700,105400,2020-05-05 09:57:00,2020-05-05 10:54:00,23698.0,23576.0,1,-124.0,-6200.0,57,stop_loss,ORB,TREND
20200506,130900,162900,2020-05-06 13:09:00,2020-05-06 16:29:00,23993.0,24063.0,1,68.0,3400.0,200,session_end,ORB,TREND
20200507,95700,102400,2020-05-07 09:57:00,2020-05-07 10:24:00,23777.0,23902.0,-1,-127.0,-6350.0,27,stop_loss,ORB,TREND
20200511,95100,131200,2020-05-11 09:51:00,2020-05-11 13:12:00,24697.0,24568.0,1,-131.0,-6550.0,141,stop_loss,ORB,TREND
20200512,94600,95900,2020-05-12 09:46:00,2020-05-12 09:59:00,24004.0,24133.0,-1,-131.0,-6550.0,13,stop_loss,ORB,TREND
20200513,95500,130300,2020-05-13 09:55:00,2020-05-13 13:03:00,24040.0,24224.0,1,182.0,9100.0,128,take_profit,ORB,TREND
20200514,94600,105900,2020-05-14 09:46:00,2020-05-14 10:59:00,23660.0,23807.0,-1,-149.0,-7450.0,73,stop_loss,ORB,TREND
