split,strategy,month,pnl_points,pnl_hkd
train,LONG_OR_FLAT_FILTERED,2017-07,555.0,27750.0
train,LONG_OR_FLAT_FILTERED,2017-08,253.0,12650.0
train,LONG_OR_FLAT_FILTERED,2017-09,-18.0,-900.0
train,LONG_OR_FLAT_FILTERED,2017-10,-95.0,-4750.0
train,LONG_OR_FLAT_FILTERED,2017-11,305.0,15250.0
train,LONG_OR_FLAT_FILTERED,2017-12,207.0,10350.0
train,LONG_OR_FLAT_FILTERED,2018-01,503.0,25150.0
train,LONG_OR_FLAT_FILTERED,2018-02,-635.0,-31750.0
train,LONG_OR_FLAT_FILTERED,2018-03,-166.0,-8300.0
train,LONG_OR_FLAT_FILTERED,2018-04,37.0,1850.0
train,LONG_OR_FLAT_FILTERED,2018-05,-205.0,-10250.0
train,LONG_OR_FLAT_FILTERED,2018-06,142.0,7100.0
train,LONG_OR_FLAT_FILTERED,2018-07,247.0,12350.0
train,LONG_OR_FLAT_FILTERED,2018-08,-597.0,-29850.0
train,LONG_OR_FLAT_FILTERED,2018-09,298.0,14900.0
train,LONG_OR_FLAT_FILTERED,2018-10,-907.0,-45350.0
train,LONG_OR_FLAT_FILTERED,2018-11,308.0,15400.0
train,LONG_OR_FLAT_FILTERED,2018-12,-332.0,-16600.0
train,LONG_OR_FLAT_FILTERED,2019-01,364.0,18200.0
train,LONG_OR_FLAT_FILTERED,2019-02,-161.0,-8050.0
train,LONG_OR_FLAT_FILTERED,2019-03,-243.0,-12150.0
train,LONG_OR_FLAT_FILTERED,2019-04,1.0,50.0
train,LONG_OR_FLAT_FILTERED,2019-05,-665.0,-33250.0
train,LONG_OR_FLAT_FILTERED,2019-06,-225.0,-11250.0
val,LONG_OR_FLAT_FILTERED,2019-07,-655.0,-32750.0
val,LONG_OR_FLAT_FILTERED,2019-08,751.0,37550.0
val,LONG_OR_FLAT_FILTERED,2019-09,636.0,31800.0
val,LONG_OR_FLAT_FILTERED,2019-10,-246.0,-12300.0
val,LONG_OR_FLAT_FILTERED,2019-11,549.0,27450.0
val,LONG_OR_FLAT_FILTERED,2019-12,43.0,2150.0
test,LONG_OR_FLAT_FILTERED,2020-01,-270.0,-13500.0
test,LONG_OR_FLAT_FILTERED,2020-02,-138.0,-6900.0
test,LONG_OR_FLAT_FILTERED,2020-03,1455.0,72750.0
test,LONG_OR_FLAT_FILTERED,2020-04,58.0,2900.0
test,LONG_OR_FLAT_FILTERED,2020-05,-356.0,-17800.0
test,LONG_OR_FLAT_FILTERED,2020-06,242.0,12100.0
