split,strategy,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
train,LONG_OR_FLAT_FILTERED,290,0.5967078189300411,0.43103448275862066,110.68,-91.19018404907976,-3.5482758620689654,0.9307723358449946,188.61724137931034,-207.0,7,8
train,HYBRID,934,1.9218106995884774,0.4817987152034261,64.28888888888889,-73.91268191268192,-7.089935760171306,0.8137376237623762,66.83511777301928,-137.0,7,13
train,ORB,701,1.4423868312757202,0.4664764621968616,126.29969418960245,-102.16353887399464,4.554921540656205,1.0837903797202613,145.87589158345222,-184.0,9,8
train,MR,906,1.8641975308641976,0.4602649006622517,61.34532374100719,-75.77823408624229,-12.497792494481237,0.6931768913938868,64.91280353200882,-169.0,7,9
train,INTRADAY_LONG,486,1.0,0.5246913580246914,168.78039215686275,-211.14410480349346,-10.932098765432098,0.8901182991396426,375.0,-1022.0,9,5
train,FLAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
val,LONG_OR_FLAT_FILTERED,69,0.5609756097560976,0.463768115942029,118.1875,-75.11111111111111,15.623188405797102,1.3986686390532543,208.17391304347825,-177.0,8,5
val,HYBRID,214,1.7398373983739837,0.49065420560747663,52.8,-61.678899082568805,-5.509345794392523,0.8246318607764391,75.21028037383178,-165.0,8,5
val,ORB,153,1.2439024390243902,0.48366013071895425,110.66216216216216,-89.53246753246754,8.4640522875817,1.1878445024659123,198.718954248366,-172.0,6,6
val,MR,213,1.7317073170731707,0.460093896713615,46.5,-63.12280701754386,-12.389671361502348,0.6332684824902723,71.84976525821597,-180.0,8,7
val,INTRADAY_LONG,123,1.0,0.5284552845528455,184.1076923076923,-169.82758620689654,17.211382113821138,1.2149238578680204,375.0,-570.0,7,8
val,FLAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
test,LONG_OR_FLAT_FILTERED,68,0.6355140186915887,0.4264705882352941,174.3793103448276,-104.25641025641026,14.573529411764707,1.2437284800787014,180.44117647058823,-191.0,4,8
test,HYBRID,215,2.0093457943925235,0.4046511627906977,66.67816091954023,-73.265625,-16.63720930232558,0.6185753892087865,57.78139534883721,-128.0,6,9
test,ORB,164,1.5327102803738317,0.4268292682926829,128.6,-117.80645161290323,-11.914634146341463,0.8216502373128879,117.21341463414635,-203.0,4,6
test,MR,229,2.1401869158878504,0.42358078602620086,74.70103092783505,-79.3409090909091,-14.091703056768559,0.6918743435500812,52.60262008733624,-218.0,5,9
test,INTRADAY_LONG,107,1.0,0.5233644859813084,243.67857142857142,-266.16,3.1588785046728973,1.0253982566877067,374.38317757009344,-1009.0,5,3
test,FLAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
